# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:15:47
# Type: Specular
# Input file indices: 16236+16237+16238+16239
# Extracted states: -
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.8815    86    34   159     6        134    64       84.8    125       False        158   0.695226   16236   1      /SNS/REF_M/IPTS-10790/data/REF_M_16236_histo.nxs
# 3.77572   115   4    159.1   6        134    64       84.8    125       False        158   0.695226   16237   2      /SNS/REF_M/IPTS-10790/data/REF_M_16237_histo.nxs
# 2.76694   115   2    160.3   7        134    64       84.8    125       False        158   1.37271    16238   2      /SNS/REF_M/IPTS-10790/data/REF_M_16238_histo.nxs
# 1.96789   116   2    161.3   8        134    64       84.8    125       False        158   2.72533    16239   2      /SNS/REF_M/IPTS-10790/data/REF_M_16239_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.118232e-02      	9.311610e-01      	8.480112e-03      	2.262023e-04      	5.929761e-03      
1.130867e-02      	9.412992e-01      	7.761854e-03      	2.288244e-04      	5.929761e-03      
1.143792e-02      	9.356044e-01      	7.245980e-03      	2.315087e-04      	5.929761e-03      
1.157015e-02      	9.328297e-01      	6.837390e-03      	2.342573e-04      	5.929761e-03      
1.170547e-02      	9.361245e-01      	6.600714e-03      	2.370731e-04      	5.929761e-03      
1.184400e-02      	9.194208e-01      	6.347702e-03      	2.399579e-04      	5.929761e-03      
1.198584e-02      	9.190235e-01      	6.256676e-03      	2.429148e-04      	5.929761e-03      
1.213112e-02      	9.210066e-01      	6.117312e-03      	2.459465e-04      	5.929761e-03      
1.227997e-02      	9.213883e-01      	6.008385e-03      	2.490558e-04      	5.929761e-03      
1.243252e-02      	9.191551e-01      	5.870450e-03      	2.522458e-04      	5.929761e-03      
1.258890e-02      	9.106186e-01      	5.743077e-03      	2.555196e-04      	5.929761e-03      
1.274927e-02      	9.039453e-01      	5.565307e-03      	2.588808e-04      	5.929761e-03      
1.291378e-02      	9.200040e-01      	5.428837e-03      	2.623329e-04      	5.929761e-03      
1.308258e-02      	9.123076e-01      	5.240425e-03      	2.658796e-04      	5.929761e-03      
1.325586e-02      	8.929501e-01      	5.101190e-03      	2.695249e-04      	5.929761e-03      
1.343379e-02      	8.848718e-01      	5.018995e-03      	2.732732e-04      	5.929761e-03      
1.361657e-02      	8.821526e-01      	4.913120e-03      	2.771289e-04      	5.929761e-03      
1.380438e-02      	8.817801e-01      	4.825072e-03      	2.810966e-04      	5.929761e-03      
1.399745e-02      	8.735946e-01      	4.767159e-03      	2.851814e-04      	5.929761e-03      
1.419600e-02      	8.673422e-01      	4.801849e-03      	2.893888e-04      	5.929761e-03      
1.440025e-02      	8.418160e-01      	4.642231e-03      	2.937243e-04      	5.929761e-03      
1.461048e-02      	8.667656e-01      	4.500682e-03      	2.981939e-04      	5.929761e-03      
1.482693e-02      	8.666208e-01      	4.356574e-03      	3.028041e-04      	5.929761e-03      
1.504989e-02      	8.521494e-01      	4.232496e-03      	3.075617e-04      	5.929761e-03      
1.527966e-02      	8.643422e-01      	4.145547e-03      	3.124739e-04      	5.929761e-03      
1.551655e-02      	8.566087e-01      	4.126871e-03      	3.175486e-04      	5.929761e-03      
1.576091e-02      	8.518354e-01      	4.183838e-03      	3.227943e-04      	5.929761e-03      
1.601308e-02      	8.703258e-01      	4.226527e-03      	3.282193e-04      	5.929761e-03      
1.627346e-02      	8.534430e-01      	4.078562e-03      	3.338340e-04      	5.929761e-03      
1.650416e-02      	7.920891e-01      	3.198178e-03      	3.393801e-04      	5.916038e-03      
1.654244e-02      	7.749858e-01      	3.830449e-03      	3.396476e-04      	5.929761e-03      
1.678154e-02      	6.255411e-01      	2.714748e-03      	3.453988e-04      	5.916038e-03      
1.682047e-02      	6.043557e-01      	3.380103e-03      	3.456720e-04      	5.929761e-03      
1.706840e-02      	4.272734e-01      	2.113259e-03      	3.516394e-04      	5.916038e-03      
1.736525e-02      	2.791070e-01      	1.625810e-03      	3.581148e-04      	5.916038e-03      
1.767259e-02      	1.932937e-01      	1.319892e-03      	3.648385e-04      	5.916038e-03      
1.799102e-02      	1.542982e-01      	1.178000e-03      	3.718254e-04      	5.916038e-03      
1.832113e-02      	1.294894e-01      	1.130162e-03      	3.790920e-04      	5.916038e-03      
1.866358e-02      	1.141851e-01      	1.038980e-03      	3.866548e-04      	5.916038e-03      
1.901908e-02      	1.056354e-01      	9.654432e-04      	3.945333e-04      	5.916038e-03      
1.938838e-02      	9.486503e-02      	8.825197e-04      	4.027479e-04      	5.916038e-03      
1.977231e-02      	9.230645e-02      	8.541413e-04      	4.113207e-04      	5.916038e-03      
2.017175e-02      	8.610715e-02      	8.159946e-04      	4.202763e-04      	5.916038e-03      
2.058766e-02      	8.148435e-02      	7.898101e-04      	4.296411e-04      	5.916038e-03      
2.102109e-02      	7.711320e-02      	7.583996e-04      	4.394449e-04      	5.916038e-03      
2.147315e-02      	7.147664e-02      	7.261946e-04      	4.497191e-04      	5.916038e-03      
2.194509e-02      	6.961778e-02      	7.071060e-04      	4.604995e-04      	5.916038e-03      
2.243824e-02      	6.396493e-02      	6.658909e-04      	4.718248e-04      	5.916038e-03      
2.295406e-02      	6.242078e-02      	6.474220e-04      	4.837384e-04      	5.916038e-03      
2.349415e-02      	5.708910e-02      	6.128545e-04      	4.962882e-04      	5.916038e-03      
2.406028e-02      	5.317446e-02      	5.983665e-04      	5.095266e-04      	5.916038e-03      
2.465436e-02      	4.862483e-02      	5.777857e-04      	5.235138e-04      	5.916038e-03      
2.527852e-02      	4.407367e-02      	5.367825e-04      	5.383154e-04      	5.916038e-03      
2.593511e-02      	3.956300e-02      	5.206936e-04      	5.540067e-04      	5.916038e-03      
2.662671e-02      	3.466639e-02      	4.914596e-04      	5.706705e-04      	5.916038e-03      
2.735621e-02      	3.070901e-02      	4.564715e-04      	5.884027e-04      	5.916038e-03      
2.812681e-02      	2.810657e-02      	4.326911e-04      	6.073090e-04      	5.916038e-03      
2.894207e-02      	2.340622e-02      	4.184188e-04      	6.275133e-04      	5.916038e-03      
2.980602e-02      	1.918939e-02      	3.939254e-04      	6.491545e-04      	5.916038e-03      
3.072312e-02      	1.569849e-02      	3.743736e-04      	6.723928e-04      	5.916038e-03      
3.169846e-02      	1.292750e-02      	3.596245e-04      	6.974144e-04      	5.916038e-03      
3.253750e-02      	1.106868e-02      	1.417116e-04      	6.778064e-04      	1.166350e-02      
3.273775e-02      	9.496944e-03      	3.318027e-04      	7.244329e-04      	5.916038e-03      
3.308434e-02      	9.872546e-03      	1.314803e-04      	6.898109e-04      	1.166350e-02      
3.364989e-02      	8.216675e-03      	1.170742e-04      	7.022571e-04      	1.166350e-02      
3.384751e-02      	8.140835e-03      	3.632247e-04      	7.536988e-04      	5.916038e-03      
3.423510e-02      	7.285900e-03      	1.080213e-04      	7.151707e-04      	1.166350e-02      
3.484103e-02      	6.566054e-03      	1.018040e-04      	7.285788e-04      	1.166350e-02      
3.546880e-02      	5.976275e-03      	9.779044e-05      	7.425105e-04      	1.166350e-02      
3.611960e-02      	5.256711e-03      	9.650376e-05      	7.569991e-04      	1.166350e-02      
3.679474e-02      	4.682128e-03      	8.939571e-05      	7.720770e-04      	1.166350e-02      
3.749559e-02      	4.414633e-03      	8.401449e-05      	7.877831e-04      	1.166350e-02      
3.822366e-02      	4.031096e-03      	7.759286e-05      	8.041575e-04      	1.166350e-02      
3.898057e-02      	3.881558e-03      	7.471198e-05      	8.212448e-04      	1.166350e-02      
3.976805e-02      	3.737426e-03      	7.262257e-05      	8.390934e-04      	1.166350e-02      
4.058801e-02      	3.763877e-03      	7.258745e-05      	8.577557e-04      	1.166350e-02      
4.144249e-02      	3.598067e-03      	7.010748e-05      	8.772907e-04      	1.166350e-02      
4.233373e-02      	3.623329e-03      	7.005462e-05      	8.977611e-04      	1.166350e-02      
4.326414e-02      	3.609736e-03      	6.902554e-05      	9.192376e-04      	1.166350e-02      
4.423637e-02      	3.596060e-03      	6.777128e-05      	9.417969e-04      	1.166350e-02      
4.525330e-02      	3.365233e-03      	6.454082e-05      	9.655253e-04      	1.166350e-02      
4.631808e-02      	3.312594e-03      	6.345868e-05      	9.905173e-04      	1.166350e-02      
4.743418e-02      	3.156028e-03      	6.272446e-05      	1.016877e-03      	1.166350e-02      
4.860540e-02      	2.908619e-03      	6.082973e-05      	1.044724e-03      	1.166350e-02      
4.983591e-02      	2.681160e-03      	5.703083e-05      	1.074188e-03      	1.166350e-02      
5.113035e-02      	2.369437e-03      	5.492848e-05      	1.105418e-03      	1.166350e-02      
5.249383e-02      	1.980351e-03      	5.065883e-05      	1.138578e-03      	1.166350e-02      
5.393202e-02      	1.571447e-03      	4.460442e-05      	1.173858e-03      	1.166350e-02      
5.545123e-02      	1.367257e-03      	4.121258e-05      	1.211467e-03      	1.166350e-02      
5.705851e-02      	1.058484e-03      	3.846979e-05      	1.251651e-03      	1.166350e-02      
5.876175e-02      	7.160379e-04      	3.293515e-05      	1.294683e-03      	1.166350e-02      
6.056979e-02      	5.549129e-04      	3.051410e-05      	1.340881e-03      	1.166350e-02      
6.249265e-02      	4.614781e-04      	2.946340e-05      	1.390613e-03      	1.166350e-02      
6.454159e-02      	4.029838e-04      	2.961888e-05      	1.444302e-03      	1.166350e-02      
6.617317e-02      	3.844145e-04      	1.126242e-05      	1.378634e-03      	2.333017e-02      
6.672944e-02      	3.887361e-04      	3.438269e-05      	1.502442e-03      	1.166350e-02      
6.730433e-02      	3.571053e-04      	1.062482e-05      	1.403510e-03      	2.333017e-02      
6.847484e-02      	3.505411e-04      	1.032434e-05      	1.429321e-03      	2.333017e-02      
6.907082e-02      	3.462587e-04      	3.303567e-05      	1.565612e-03      	1.166350e-02      
6.968679e-02      	3.220650e-04      	9.828540e-06      	1.456121e-03      	2.333017e-02      
7.094239e-02      	3.204021e-04      	9.885347e-06      	1.483967e-03      	2.333017e-02      
7.158249e-02      	2.740818e-04      	6.077739e-05      	1.634496e-03      	1.166350e-02      
7.224409e-02      	2.916576e-04      	9.916720e-06      	1.512926e-03      	2.333017e-02      
7.359446e-02      	2.618929e-04      	9.243467e-06      	1.543063e-03      	2.333017e-02      
7.499625e-02      	2.578300e-04      	8.872920e-06      	1.574456e-03      	2.333017e-02      
7.645249e-02      	1.936714e-04      	7.442888e-06      	1.607186e-03      	2.333017e-02      
7.796640e-02      	1.519775e-04      	6.486241e-06      	1.641340e-03      	2.333017e-02      
7.954148e-02      	1.131384e-04      	5.550041e-06      	1.677016e-03      	2.333017e-02      
8.118151e-02      	8.516188e-05      	4.822401e-06      	1.714319e-03      	2.333017e-02      
8.289059e-02      	6.811290e-05      	4.260234e-06      	1.753366e-03      	2.333017e-02      
8.467319e-02      	5.584228e-05      	3.860994e-06      	1.794283e-03      	2.333017e-02      
8.653414e-02      	5.354849e-05      	3.736806e-06      	1.837212e-03      	2.333017e-02      
8.847871e-02      	5.889438e-05      	3.842056e-06      	1.882305e-03      	2.333017e-02      
9.051271e-02      	6.078296e-05      	3.847970e-06      	1.929736e-03      	2.333017e-02      
9.264243e-02      	7.520726e-05      	4.233369e-06      	1.979692e-03      	2.333017e-02      
9.487478e-02      	9.063984e-05      	4.708570e-06      	2.032385e-03      	2.333017e-02      
9.721737e-02      	8.867817e-05      	4.700681e-06      	2.088049e-03      	2.333017e-02      
9.967856e-02      	6.191075e-05      	3.844363e-06      	2.146946e-03      	2.333017e-02      
1.022676e-01      	4.517991e-05      	3.396637e-06      	2.209374e-03      	2.333017e-02      
1.049948e-01      	2.874409e-05      	2.775137e-06      	2.275661e-03      	2.333017e-02      
1.078713e-01      	1.081296e-05      	1.838674e-06      	2.346187e-03      	2.333017e-02      
1.109100e-01      	3.632862e-06      	1.193323e-06      	2.421369e-03      	2.333017e-02      
1.141247e-01      	5.146904e-06      	1.362975e-06      	2.501698e-03      	2.333017e-02      
1.175314e-01      	1.037015e-05      	1.915425e-06      	2.587724e-03      	2.333017e-02      
1.211478e-01      	1.528276e-05      	2.364911e-06      	2.680079e-03      	2.333017e-02      
1.249937e-01      	1.200582e-05      	2.264960e-06      	2.779501e-03      	2.333017e-02      
1.290919e-01      	1.443063e-05      	2.589923e-06      	2.886834e-03      	2.333017e-02      
1.334679e-01      	1.282768e-05      	2.898944e-06      	3.003068e-03      	2.333017e-02      
1.381510e-01      	7.989519e-06      	2.406761e-06      	3.129360e-03      	2.333017e-02      
1.431747e-01      	1.517627e-05      	6.726734e-06      	3.267076e-03      	2.333017e-02      
