x,y_uu,y_dd
1.12E-02,9.74E-01,9.44E-01
1.13E-02,9.73E-01,9.43E-01
1.14E-02,9.73E-01,9.41E-01
1.16E-02,9.72E-01,9.39E-01
1.17E-02,9.71E-01,9.36E-01
1.18E-02,9.70E-01,9.34E-01
1.20E-02,9.69E-01,9.32E-01
1.21E-02,9.67E-01,9.29E-01
1.23E-02,9.66E-01,9.26E-01
1.24E-02,9.65E-01,9.23E-01
1.26E-02,9.63E-01,9.20E-01
1.27E-02,9.62E-01,9.17E-01
1.29E-02,9.60E-01,9.13E-01
1.31E-02,9.58E-01,9.10E-01
1.33E-02,9.56E-01,9.06E-01
1.34E-02,9.54E-01,9.02E-01
1.36E-02,9.51E-01,8.98E-01
1.38E-02,9.48E-01,8.93E-01
1.40E-02,9.45E-01,8.89E-01
1.42E-02,9.41E-01,8.85E-01
1.44E-02,9.37E-01,8.82E-01
1.46E-02,9.32E-01,8.79E-01
1.48E-02,9.27E-01,8.76E-01
1.50E-02,9.21E-01,8.75E-01
1.53E-02,9.14E-01,8.76E-01
1.55E-02,9.06E-01,8.79E-01
1.58E-02,8.98E-01,8.85E-01
1.60E-02,8.72E-01,8.80E-01
1.63E-02,7.79E-01,8.28E-01
1.65E-02,6.41E-01,7.38E-01
1.65E-02,6.22E-01,7.23E-01
1.68E-02,4.50E-01,5.96E-01
1.68E-02,4.25E-01,5.73E-01
1.71E-02,2.58E-01,4.33E-01
1.74E-02,1.11E-01,2.90E-01
1.77E-02,4.52E-02,2.03E-01
1.80E-02,2.93E-02,1.61E-01
1.83E-02,2.71E-02,1.37E-01
1.87E-02,2.90E-02,1.21E-01
1.90E-02,3.22E-02,1.10E-01
1.94E-02,3.57E-02,1.01E-01
1.98E-02,3.90E-02,9.41E-02
2.02E-02,4.19E-02,8.83E-02
2.06E-02,4.42E-02,8.32E-02
2.10E-02,4.58E-02,7.86E-02
2.15E-02,4.69E-02,7.42E-02
2.19E-02,4.72E-02,6.99E-02
2.24E-02,4.70E-02,6.57E-02
2.30E-02,4.62E-02,6.15E-02
2.35E-02,4.48E-02,5.72E-02
2.41E-02,4.29E-02,5.29E-02
2.47E-02,4.05E-02,4.86E-02
2.53E-02,3.77E-02,4.42E-02
2.59E-02,3.46E-02,3.98E-02
2.66E-02,3.12E-02,3.54E-02
2.74E-02,2.77E-02,3.11E-02
2.81E-02,2.40E-02,2.70E-02
2.89E-02,2.03E-02,2.30E-02
2.98E-02,1.67E-02,1.93E-02
3.07E-02,1.32E-02,1.59E-02
3.17E-02,1.00E-02,1.28E-02
3.25E-02,7.72E-03,1.07E-02
3.27E-02,7.22E-03,1.02E-02
3.31E-02,6.41E-03,9.45E-03
3.36E-02,5.21E-03,8.37E-03
3.38E-02,4.83E-03,8.02E-03
3.42E-02,4.14E-03,7.41E-03
3.48E-02,3.20E-03,6.57E-03
3.55E-02,2.39E-03,5.85E-03
3.61E-02,1.71E-03,5.25E-03
3.68E-02,1.16E-03,4.76E-03
3.75E-02,7.37E-04,4.37E-03
3.82E-02,4.34E-04,4.08E-03
3.90E-02,2.40E-04,3.87E-03
3.98E-02,1.43E-04,3.73E-03
4.06E-02,1.27E-04,3.64E-03
4.14E-02,1.77E-04,3.59E-03
4.23E-02,2.73E-04,3.56E-03
4.33E-02,3.97E-04,3.53E-03
4.42E-02,5.30E-04,3.49E-03
4.53E-02,6.52E-04,3.41E-03
4.63E-02,7.49E-04,3.30E-03
4.74E-02,8.08E-04,3.14E-03
4.86E-02,8.21E-04,2.92E-03
4.98E-02,7.86E-04,2.66E-03
5.11E-02,7.05E-04,2.35E-03
5.25E-02,5.88E-04,2.02E-03
5.39E-02,4.51E-04,1.67E-03
5.55E-02,3.11E-04,1.34E-03
5.71E-02,1.89E-04,1.04E-03
5.88E-02,1.02E-04,7.87E-04
6.06E-02,5.97E-05,6.00E-04
6.25E-02,6.49E-05,4.77E-04
6.45E-02,1.07E-04,4.08E-04
6.62E-02,1.52E-04,3.80E-04
6.67E-02,1.67E-04,3.73E-04
6.73E-02,1.81E-04,3.67E-04
6.85E-02,2.07E-04,3.55E-04
6.91E-02,2.17E-04,3.48E-04
6.97E-02,2.25E-04,3.40E-04
7.09E-02,2.34E-04,3.20E-04
7.16E-02,2.34E-04,3.09E-04
7.22E-02,2.32E-04,2.95E-04
7.36E-02,2.18E-04,2.64E-04
7.50E-02,1.95E-04,2.27E-04
7.65E-02,1.63E-04,1.87E-04
7.80E-02,1.27E-04,1.48E-04
7.95E-02,9.03E-05,1.11E-04
8.12E-02,5.79E-05,8.17E-05
8.29E-02,3.34E-05,6.17E-05
8.47E-02,1.90E-05,5.25E-05
8.65E-02,1.54E-05,5.36E-05
8.85E-02,2.09E-05,6.22E-05
9.05E-02,3.19E-05,7.40E-05
9.26E-02,4.38E-05,8.41E-05
9.49E-02,5.17E-05,8.78E-05
9.72E-02,5.25E-05,8.24E-05
9.97E-02,4.55E-05,6.80E-05
1.02E-01,3.29E-05,4.80E-05
1.05E-01,1.92E-05,2.77E-05
1.08E-01,9.06E-06,1.26E-05
1.11E-01,5.15E-06,5.90E-06
1.14E-01,6.78E-06,6.88E-06
1.18E-01,1.03E-05,1.16E-05
1.21E-01,1.16E-05,1.53E-05
1.25E-01,9.41E-06,1.56E-05
1.29E-01,6.21E-06,1.39E-05
1.33E-01,5.71E-06,1.28E-05
1.38E-01,8.64E-06,1.30E-05
1.43E-01,1.15E-05,1.21E-05
