# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:15:47
# Type: Specular
# Input file indices: 16236+16237+16238+16239
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.8815    86    34   159     6        134    64       84.8    125       False        158   0.695226   16236   1      /SNS/REF_M/IPTS-10790/data/REF_M_16236_histo.nxs
# 3.77572   115   4    159.1   6        134    64       84.8    125       False        158   0.695226   16237   2      /SNS/REF_M/IPTS-10790/data/REF_M_16237_histo.nxs
# 2.76694   115   2    160.3   7        134    64       84.8    125       False        158   1.37271    16238   2      /SNS/REF_M/IPTS-10790/data/REF_M_16238_histo.nxs
# 1.96789   116   2    161.3   8        134    64       84.8    125       False        158   2.72533    16239   2      /SNS/REF_M/IPTS-10790/data/REF_M_16239_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.118232e-02      	9.786265e-01      	8.727892e-03      	2.262023e-04      	5.929761e-03      
1.130867e-02      	9.872941e-01      	7.980007e-03      	2.288244e-04      	5.929761e-03      
1.143792e-02      	9.738185e-01      	7.417744e-03      	2.315087e-04      	5.929761e-03      
1.157015e-02      	9.906916e-01      	7.078505e-03      	2.342573e-04      	5.929761e-03      
1.170547e-02      	9.908070e-01      	6.820654e-03      	2.370731e-04      	5.929761e-03      
1.184400e-02      	9.681098e-01      	6.540067e-03      	2.399579e-04      	5.929761e-03      
1.198584e-02      	9.920494e-01      	6.536326e-03      	2.429148e-04      	5.929761e-03      
1.213112e-02      	9.759342e-01      	6.325022e-03      	2.459465e-04      	5.929761e-03      
1.227997e-02      	9.821737e-01      	6.232797e-03      	2.490558e-04      	5.929761e-03      
1.243252e-02      	9.784323e-01      	6.085259e-03      	2.522458e-04      	5.929761e-03      
1.258890e-02      	9.732252e-01      	5.966256e-03      	2.555196e-04      	5.929761e-03      
1.274927e-02      	9.616293e-01      	5.766461e-03      	2.588808e-04      	5.929761e-03      
1.291378e-02      	9.693041e-01      	5.595127e-03      	2.623329e-04      	5.929761e-03      
1.308258e-02      	9.786139e-01      	5.455333e-03      	2.658796e-04      	5.929761e-03      
1.325586e-02      	9.821191e-01      	5.384626e-03      	2.695249e-04      	5.929761e-03      
1.343379e-02      	9.599224e-01      	5.257155e-03      	2.732732e-04      	5.929761e-03      
1.361657e-02      	9.694944e-01      	5.183586e-03      	2.771289e-04      	5.929761e-03      
1.380438e-02      	9.628542e-01      	5.072203e-03      	2.810966e-04      	5.929761e-03      
1.399745e-02      	9.571782e-01      	5.020780e-03      	2.851814e-04      	5.929761e-03      
1.419600e-02      	9.481732e-01      	5.050864e-03      	2.893888e-04      	5.929761e-03      
1.440025e-02      	9.234401e-01      	4.891668e-03      	2.937243e-04      	5.929761e-03      
1.461048e-02      	9.472696e-01      	4.733382e-03      	2.981939e-04      	5.929761e-03      
1.482693e-02      	9.366107e-01      	4.553358e-03      	3.028041e-04      	5.929761e-03      
1.504989e-02      	9.244652e-01      	4.432799e-03      	3.075617e-04      	5.929761e-03      
1.527966e-02      	9.335617e-01      	4.331205e-03      	3.124739e-04      	5.929761e-03      
1.551655e-02      	9.053820e-01      	4.260016e-03      	3.175486e-04      	5.929761e-03      
1.576091e-02      	8.735424e-01      	4.247186e-03      	3.227943e-04      	5.929761e-03      
1.601308e-02      	8.591048e-01      	4.200952e-03      	3.282193e-04      	5.929761e-03      
1.627346e-02      	8.190521e-01      	3.991609e-03      	3.338340e-04      	5.929761e-03      
1.650416e-02      	7.125651e-01      	2.707535e-03      	3.393801e-04      	5.916038e-03      
1.654244e-02      	6.779470e-01      	3.565077e-03      	3.396476e-04      	5.929761e-03      
1.678154e-02      	4.927315e-01      	2.107137e-03      	3.453988e-04      	5.916038e-03      
1.682047e-02      	4.600096e-01      	2.925373e-03      	3.456720e-04      	5.929761e-03      
1.706840e-02      	2.579544e-01      	1.404901e-03      	3.516394e-04      	5.916038e-03      
1.736525e-02      	1.059810e-01      	8.464631e-04      	3.581148e-04      	5.916038e-03      
1.767259e-02      	4.570722e-02      	5.424764e-04      	3.648385e-04      	5.916038e-03      
1.799102e-02      	2.988186e-02      	4.397953e-04      	3.718254e-04      	5.916038e-03      
