# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 15:58:07
# Type: Specular
# Input file indices: 16252+16253+16254+16255
# Extracted states: -
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 6.0256    86    27   153.1   7        133.5   65       78.6    112.5     False        158   0.695226   16252   1      /SNS/REF_M/IPTS-10790/data/REF_M_16252_histo.nxs
# 5.30884   113   12   144.3   7        133.5   65       78.6    112.5     False        158   0.695226   16253   2      /SNS/REF_M/IPTS-10790/data/REF_M_16253_histo.nxs
# 3.75837   113   5    154.5   8        133.5   65       78.6    112.5     False        158   1.37271    16254   2      /SNS/REF_M/IPTS-10790/data/REF_M_16254_histo.nxs
# 2.45471   113   2    153.6   8        133.5   65       78.6    112.5     False        158   2.72347    16255   2      /SNS/REF_M/IPTS-10790/data/REF_M_16255_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.270912e-02      	9.731848e-01      	7.914990e-03      	2.300002e-04      	6.739406e-03      
1.285273e-02      	9.499322e-01      	7.102483e-03      	2.326830e-04      	6.739406e-03      
1.299962e-02      	9.568519e-01      	6.680699e-03      	2.354302e-04      	6.739406e-03      
1.314990e-02      	9.386975e-01      	6.245835e-03      	2.382436e-04      	6.739406e-03      
1.330370e-02      	9.412218e-01      	6.027014e-03      	2.411265e-04      	6.739406e-03      
1.346114e-02      	9.297066e-01      	5.813566e-03      	2.440806e-04      	6.739406e-03      
1.362236e-02      	9.318711e-01      	5.739128e-03      	2.471094e-04      	6.739406e-03      
1.378748e-02      	9.278133e-01      	5.590585e-03      	2.502155e-04      	6.739406e-03      
1.395665e-02      	9.243903e-01      	5.478305e-03      	2.534018e-04      	6.739406e-03      
1.413002e-02      	9.115670e-01      	5.317499e-03      	2.566717e-04      	6.739406e-03      
1.430776e-02      	9.034302e-01      	5.202675e-03      	2.600284e-04      	6.739406e-03      
1.449002e-02      	8.956034e-01      	5.037346e-03      	2.634756e-04      	6.739406e-03      
1.467699e-02      	8.983096e-01      	4.874368e-03      	2.670170e-04      	6.739406e-03      
1.486885e-02      	8.984971e-01      	4.727679e-03      	2.706566e-04      	6.739406e-03      
1.506578e-02      	9.070081e-01      	4.682083e-03      	2.743984e-04      	6.739406e-03      
1.526801e-02      	8.889495e-01      	4.577481e-03      	2.782473e-04      	6.739406e-03      
1.547574e-02      	8.723045e-01      	4.440873e-03      	2.822076e-04      	6.739406e-03      
