# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 15:58:07
# Type: Specular
# Input file indices: 16252+16253+16254+16255
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 6.0256    86    27   153.1   7        133.5   65       78.6    112.5     False        158   0.695226   16252   1      /SNS/REF_M/IPTS-10790/data/REF_M_16252_histo.nxs
# 5.30884   113   12   144.3   7        133.5   65       78.6    112.5     False        158   0.695226   16253   2      /SNS/REF_M/IPTS-10790/data/REF_M_16253_histo.nxs
# 3.75837   113   5    154.5   8        133.5   65       78.6    112.5     False        158   1.37271    16254   2      /SNS/REF_M/IPTS-10790/data/REF_M_16254_histo.nxs
# 2.45471   113   2    153.6   8        133.5   65       78.6    112.5     False        158   2.72347    16255   2      /SNS/REF_M/IPTS-10790/data/REF_M_16255_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.270912e-02      	9.639245e-01      	7.899321e-03      	2.300002e-04      	6.739406e-03      
1.285273e-02      	9.507876e-01      	7.130787e-03      	2.326830e-04      	6.739406e-03      
1.299962e-02      	9.438596e-01      	6.651864e-03      	2.354302e-04      	6.739406e-03      
1.314990e-02      	9.498658e-01      	6.309817e-03      	2.382436e-04      	6.739406e-03      
1.330370e-02      	9.377978e-01      	6.035441e-03      	2.411265e-04      	6.739406e-03      
1.346114e-02      	9.396358e-01      	5.869074e-03      	2.440806e-04      	6.739406e-03      
1.362236e-02      	9.412048e-01      	5.791743e-03      	2.471094e-04      	6.739406e-03      
1.378748e-02      	9.286831e-01      	5.613199e-03      	2.502155e-04      	6.739406e-03      
1.395665e-02      	9.282406e-01      	5.510217e-03      	2.534018e-04      	6.739406e-03      
1.413002e-02      	9.262438e-01      	5.384668e-03      	2.566717e-04      	6.739406e-03      
1.430776e-02      	9.107992e-01      	5.244953e-03      	2.600284e-04      	6.739406e-03      
1.449002e-02      	9.034470e-01      	5.079938e-03      	2.634756e-04      	6.739406e-03      
1.467699e-02      	9.041427e-01      	4.909342e-03      	2.670170e-04      	6.739406e-03      
1.486885e-02      	9.039315e-01      	4.760426e-03      	2.706566e-04      	6.739406e-03      
1.506578e-02      	9.027004e-01      	4.685862e-03      	2.743984e-04      	6.739406e-03      
1.526801e-02      	8.860975e-01      	4.585242e-03      	2.782473e-04      	6.739406e-03      
1.547574e-02      	8.636930e-01      	4.431616e-03      	2.822076e-04      	6.739406e-03      
1.568920e-02      	8.412270e-01      	4.289141e-03      	2.862844e-04      	6.739406e-03      
1.590862e-02      	7.943395e-01      	4.124809e-03      	2.904828e-04      	6.739406e-03      
1.613428e-02      	7.049330e-01      	3.903599e-03      	2.948089e-04      	6.739406e-03      
1.636643e-02      	6.104366e-01      	3.544788e-03      	2.992683e-04      	6.739406e-03      
1.660535e-02      	5.372961e-01      	3.154971e-03      	3.038675e-04      	6.739406e-03      
1.685136e-02      	4.557191e-01      	2.795130e-03      	3.086133e-04      	6.739406e-03      
1.710476e-02      	3.692522e-01      	2.450540e-03      	3.135127e-04      	6.739406e-03      
1.736590e-02      	2.982894e-01      	2.128407e-03      	3.185738e-04      	6.739406e-03      
1.763514e-02      	2.347501e-01      	1.879320e-03      	3.238044e-04      	6.739406e-03      
1.791286e-02      	1.718554e-01      	1.626987e-03      	3.292139e-04      	6.739406e-03      
1.819947e-02      	1.241221e-01      	1.375015e-03      	3.348110e-04      	6.739406e-03      
1.849540e-02      	9.572640e-02      	1.175119e-03      	3.406068e-04      	6.739406e-03      
1.880110e-02      	7.657195e-02      	1.039154e-03      	3.466110e-04      	6.739406e-03      
1.911709e-02      	6.779333e-02      	9.868483e-04      	3.528364e-04      	6.739406e-03      
1.944388e-02      	6.396603e-02      	9.511100e-04      	3.592951e-04      	6.739406e-03      
1.978203e-02      	6.116358e-02      	9.170009e-04      	3.660007e-04      	6.739406e-03      
2.013215e-02      	5.901324e-02      	9.017922e-04      	3.729680e-04      	6.739406e-03      
2.049489e-02      	5.893380e-02      	9.081188e-04      	3.802126e-04      	6.739406e-03      
2.087095e-02      	5.680982e-02      	9.408155e-04      	3.877525e-04      	6.739406e-03      
2.126106e-02      	5.591778e-02      	1.007146e-03      	3.956053e-04      	6.739406e-03      
2.146049e-02      	5.593697e-02      	8.026663e-04      	3.450858e-04      	7.947013e-03     
2.180944e-02      	5.512980e-02      	6.278934e-04      	3.511712e-04      	7.947013e-03      
2.216993e-02      	5.598872e-02      	5.841409e-04      	3.574806e-04      	7.947013e-03      
2.254253e-02      	5.400208e-02      	5.640278e-04      	3.640279e-04      	7.947013e-03      
2.292787e-02      	5.178842e-02      	5.397707e-04      	3.708263e-04      	7.947013e-03      
2.332662e-02      	4.999100e-02      	5.198602e-04      	3.778910e-04      	7.947013e-03      
2.373948e-02      	4.768180e-02      	5.040366e-04      	3.852383e-04      	7.947013e-03      
2.416722e-02      	4.653378e-02      	5.014437e-04      	3.928854e-04      	7.947013e-03      
