# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:21:02
# Type: Specular
# Input file indices: 16240+16241+16242+16243
# Extracted states: -
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.86367   86    31   158.9   6        133.5   65       84.8    125       False        158   0.694759   16240   1      /SNS/REF_M/IPTS-10790/data/REF_M_16240_histo.nxs
# 3.8815    118   5    159     6        133.5   65       84.8    125       False        158   0.694759   16241   2      /SNS/REF_M/IPTS-10790/data/REF_M_16241_histo.nxs
# 2.7227    113   3    160.6   7        133.5   65       84.8    125       False        158   1.37271    16242   2      /SNS/REF_M/IPTS-10790/data/REF_M_16242_histo.nxs
# 2.15278   115   2    161.4   8        133.5   65       84.8    125       False        158   2.72533    16243   2      /SNS/REF_M/IPTS-10790/data/REF_M_16243_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.120052e-02      	9.404007e-01      	8.426990e-03      	2.261856e-04      	5.939410e-03      
1.132708e-02      	9.405580e-01      	7.667615e-03      	2.288076e-04      	5.939410e-03      
1.145653e-02      	9.390602e-01      	7.176013e-03      	2.314920e-04      	5.939410e-03      
1.158897e-02      	9.307726e-01      	6.748965e-03      	2.342406e-04      	5.939410e-03      
1.172452e-02      	9.365807e-01      	6.525364e-03      	2.370565e-04      	5.939410e-03      
1.186327e-02      	9.395185e-01      	6.349362e-03      	2.399414e-04      	5.939410e-03      
1.200534e-02      	9.455362e-01      	6.282114e-03      	2.428984e-04      	5.939410e-03      
1.215086e-02      	9.372196e-01      	6.104871e-03      	2.459301e-04      	5.939410e-03      
1.229995e-02      	9.382616e-01      	5.998240e-03      	2.490396e-04      	5.939410e-03      
1.245275e-02      	9.333165e-01      	5.851501e-03      	2.522297e-04      	5.939410e-03      
1.260939e-02      	9.165461e-01      	5.696285e-03      	2.555036e-04      	5.939410e-03      
1.277002e-02      	9.084138e-01      	5.514990e-03      	2.588650e-04      	5.939410e-03      
1.293479e-02      	9.199128e-01      	5.364958e-03      	2.623172e-04      	5.939410e-03      
1.310387e-02      	9.268833e-01      	5.224852e-03      	2.658641e-04      	5.939410e-03      
1.327743e-02      	9.207976e-01      	5.128118e-03      	2.695096e-04      	5.939410e-03      
1.345565e-02      	9.065760e-01      	5.027212e-03      	2.732582e-04      	5.939410e-03      
1.363872e-02      	9.084426e-01      	4.935102e-03      	2.771141e-04      	5.939410e-03      
1.382685e-02      	8.992156e-01      	4.820337e-03      	2.810821e-04      	5.939410e-03      
1.402023e-02      	8.852949e-01      	4.745833e-03      	2.851672e-04      	5.939410e-03      
1.421909e-02      	8.732729e-01      	4.763213e-03      	2.893749e-04      	5.939410e-03      
1.442369e-02      	8.698791e-01      	4.671373e-03      	2.937107e-04      	5.939410e-03      
1.463425e-02      	8.792073e-01      	4.482882e-03      	2.981808e-04      	5.939410e-03      
1.485106e-02      	8.712393e-01      	4.317958e-03      	3.027914e-04      	5.939410e-03      
1.507438e-02      	8.513382e-01      	4.180288e-03      	3.075495e-04      	5.939410e-03      
1.530452e-02      	8.626866e-01      	4.092218e-03      	3.124622e-04      	5.939410e-03      
1.554180e-02      	8.437721e-01      	4.044110e-03      	3.175375e-04      	5.939410e-03      
1.578656e-02      	8.305748e-01      	4.077081e-03      	3.227838e-04      	5.939410e-03      
1.603914e-02      	8.427184e-01      	4.102869e-03      	3.282095e-04      	5.939410e-03      
1.629994e-02      	8.088914e-01      	3.912890e-03      	3.338249e-04      	5.939410e-03      
1.656936e-02      	7.064185e-01      	3.597689e-03      	3.396394e-04      	5.939410e-03      
1.684784e-02      	5.123661e-01      	3.055983e-03      	3.456647e-04      	5.939410e-03      
1.713583e-02      	3.183492e-01      	2.360362e-03      	3.519123e-04      	5.939410e-03      
1.739357e-02      	1.878570e-01      	1.287193e-03      	3.581411e-04      	5.925687e-03      
1.743385e-02      	1.849185e-01      	1.758005e-03      	3.583950e-04      	5.939410e-03      
1.770142e-02      	1.209978e-01      	1.010836e-03      	3.648665e-04      	5.925687e-03      
1.774241e-02      	1.199193e-01      	1.411422e-03      	3.651264e-04      	5.939410e-03      
1.802036e-02      	9.351635e-02      	8.896272e-04      	3.718552e-04      	5.925687e-03      
1.835101e-02      	8.005697e-02      	8.640495e-04      	3.791238e-04      	5.925687e-03      
1.869402e-02      	7.377159e-02      	8.136006e-04      	3.866887e-04      	5.925687e-03      
1.905010e-02      	6.824005e-02      	7.564384e-04      	3.945695e-04      	5.925687e-03      
1.942000e-02      	6.618895e-02      	7.199586e-04      	4.027865e-04      	5.925687e-03      
1.980456e-02      	6.309934e-02      	6.897149e-04      	4.113620e-04      	5.925687e-03      
2.020465e-02      	6.224053e-02      	6.782909e-04      	4.203205e-04      	5.925687e-03      
2.062124e-02      	6.057528e-02      	6.662994e-04      	4.296884e-04      	5.925687e-03      
2.105537e-02      	5.907906e-02      	6.498904e-04      	4.394956e-04      	5.925687e-03      
2.150818e-02      	5.627140e-02      	6.312240e-04      	4.497734e-04      	5.925687e-03      
2.198088e-02      	5.543859e-02      	6.182815e-04      	4.605579e-04      	5.925687e-03      
2.247483e-02      	5.298325e-02      	5.942497e-04      	4.718875e-04      	5.925687e-03      
2.299150e-02      	5.090047e-02      	5.732049e-04      	4.838060e-04      	5.925687e-03      
2.353247e-02      	4.840482e-02      	5.535784e-04      	4.963609e-04      	5.925687e-03      
2.409952e-02      	4.607488e-02      	5.465954e-04      	5.096052e-04      	5.925687e-03      
2.469457e-02      	4.109806e-02      	5.212302e-04      	5.235985e-04      	5.925687e-03      
2.531975e-02      	3.808384e-02      	4.897429e-04      	5.384071e-04      	5.925687e-03      
2.597741e-02      	3.348499e-02      	4.700518e-04      	5.541060e-04      	5.925687e-03      
2.667014e-02      	2.993526e-02      	4.483768e-04      	5.707783e-04      	5.925687e-03      
2.740083e-02      	2.598526e-02      	4.122692e-04      	5.885200e-04      	5.925687e-03      
2.817268e-02      	2.282783e-02      	3.827876e-04      	6.074367e-04      	5.925687e-03      
2.898928e-02      	1.842443e-02      	3.644064e-04      	6.276527e-04      	5.925687e-03      
2.985463e-02      	1.439270e-02      	3.348013e-04      	6.493068e-04      	5.925687e-03      
3.077323e-02      	1.178640e-02      	3.185836e-04      	6.725597e-04      	5.925687e-03      
3.138513e-02      	9.977387e-03      	1.486669e-04      	6.547893e-04      	1.162233e-02      
3.175016e-02      	9.197557e-03      	2.978245e-04      	6.975977e-04      	5.925687e-03      
3.189546e-02      	8.730266e-03      	1.093575e-04      	6.659711e-04      	1.162233e-02      
3.242266e-02      	7.521593e-03      	9.347007e-05      	6.775484e-04      	1.162233e-02      
3.279115e-02      	6.716236e-03      	2.742328e-04      	7.246346e-04      	5.925687e-03      
3.296757e-02      	6.330250e-03      	8.418171e-05      	6.895444e-04      	1.162233e-02      
3.353112e-02      	5.084919e-03      	7.361271e-05      	7.019818e-04      	1.162233e-02      
3.411427e-02      	4.326182e-03      	6.649911e-05      	7.148859e-04      	1.162233e-02      
3.471806e-02      	3.639188e-03      	6.053637e-05      	7.282840e-04      	1.162233e-02      
3.534361e-02      	2.898405e-03      	5.434938e-05      	7.422051e-04      	1.162233e-02      
3.599212e-02      	2.318939e-03      	5.115042e-05      	7.566822e-04      	1.162233e-02      
3.666487e-02      	1.977521e-03      	4.638878e-05      	7.717481e-04      	1.162233e-02      
3.736325e-02      	1.588577e-03      	4.020924e-05      	7.874413e-04      	1.162233e-02      
3.808875e-02      	1.377017e-03      	3.619534e-05      	8.038020e-04      	1.162233e-02      
3.884298e-02      	1.304825e-03      	3.458660e-05      	8.208745e-04      	1.162233e-02      
3.962769e-02      	1.236094e-03      	3.334407e-05      	8.387073e-04      	1.162233e-02      
4.044475e-02      	1.223305e-03      	3.304510e-05      	8.573527e-04      	1.162233e-02      
4.129623e-02      	1.308379e-03      	3.374832e-05      	8.768695e-04      	1.162233e-02      
4.218432e-02      	1.408802e-03      	3.488175e-05      	8.973203e-04      	1.162233e-02      
4.311144e-02      	1.560763e-03      	3.624733e-05      	9.187757e-04      	1.162233e-02      
4.408024e-02      	1.621642e-03      	3.635519e-05      	9.413122e-04      	1.162233e-02      
4.509357e-02      	1.597662e-03      	3.552893e-05      	9.650158e-04      	1.162233e-02      
4.615460e-02      	1.719369e-03      	3.652485e-05      	9.899811e-04      	1.162233e-02      
4.726676e-02      	1.669977e-03      	3.647531e-05      	1.016312e-03      	1.162233e-02      
4.843384e-02      	1.600327e-03      	3.606115e-05      	1.044127e-03      	1.162233e-02      
4.966001e-02      	1.417347e-03      	3.315358e-05      	1.073556e-03      	1.162233e-02      
5.094989e-02      	1.317604e-03      	3.274834e-05      	1.104748e-03      	1.162233e-02      
5.230855e-02      	1.064103e-03      	2.970631e-05      	1.137867e-03      	1.162233e-02      
5.374166e-02      	8.295246e-04      	2.592318e-05      	1.173101e-03      	1.162233e-02      
5.525551e-02      	6.267381e-04      	2.234546e-05      	1.210660e-03      	1.162233e-02      
5.685712e-02      	4.801990e-04      	2.073084e-05      	1.250788e-03      	1.162233e-02      
5.855434e-02      	2.609523e-04      	1.594525e-05      	1.293758e-03      	1.162233e-02      
6.035601e-02      	1.743288e-04      	1.374784e-05      	1.339888e-03      	1.162233e-02      
6.227208e-02      	1.273885e-04      	1.245903e-05      	1.389544e-03      	1.162233e-02      
6.431378e-02      	1.336096e-04      	1.377789e-05      	1.443146e-03      	1.162233e-02      
6.504112e-02      	1.493038e-04      	6.643127e-06      	1.354524e-03      	2.331645e-02      
6.613424e-02      	1.637853e-04      	6.853099e-06      	1.378514e-03      	2.331645e-02      
6.649391e-02      	1.843513e-04      	1.905920e-05      	1.501190e-03      	1.162233e-02      
6.726474e-02      	1.783996e-04      	6.992425e-06      	1.403388e-03      	2.331645e-02      
6.843457e-02      	1.992051e-04      	7.236330e-06      	1.429195e-03      	2.331645e-02      
6.882704e-02      	1.749360e-04      	1.891115e-05      	1.564251e-03      	1.162233e-02      
6.964580e-02      	2.052628e-04      	7.291955e-06      	1.455991e-03      	2.331645e-02      
7.090066e-02      	2.079045e-04      	7.397385e-06      	1.483833e-03      	2.331645e-02      
7.220160e-02      	1.834257e-04      	7.324479e-06      	1.512787e-03      	2.331645e-02      
7.355117e-02      	1.837130e-04      	7.197512e-06      	1.542920e-03      	2.331645e-02      
7.495214e-02      	1.686974e-04      	6.682872e-06      	1.574308e-03      	2.331645e-02      
7.640753e-02      	1.387599e-04      	5.862131e-06      	1.607032e-03      	2.331645e-02      
7.792055e-02      	1.100268e-04      	5.137843e-06      	1.641181e-03      	2.331645e-02      
7.949470e-02      	6.262239e-05      	3.869670e-06      	1.676851e-03      	2.331645e-02      
8.113376e-02      	4.187406e-05      	3.191429e-06      	1.714148e-03      	2.331645e-02      
8.284184e-02      	2.351295e-05      	2.409463e-06      	1.753188e-03      	2.331645e-02      
8.462339e-02      	1.550503e-05      	1.990792e-06      	1.794098e-03      	2.331645e-02      
8.648324e-02      	2.236703e-05      	2.308022e-06      	1.837019e-03      	2.331645e-02      
8.842668e-02      	3.031475e-05      	2.607409e-06      	1.882104e-03      	2.331645e-02      
9.045947e-02      	4.814058e-05      	3.200574e-06      	1.929525e-03      	2.331645e-02      
9.258793e-02      	5.981091e-05      	3.512305e-06      	1.979472e-03      	2.331645e-02      
9.481897e-02      	7.228879e-05      	3.918786e-06      	2.032154e-03      	2.331645e-02      
9.716019e-02      	8.218062e-05      	4.196475e-06      	2.087806e-03      	2.331645e-02      
9.961993e-02      	5.952418e-05      	3.498097e-06      	2.146691e-03      	2.331645e-02      
1.022075e-01      	4.572081e-05      	3.156567e-06      	2.209105e-03      	2.331645e-02      
1.049330e-01      	2.586821e-05      	2.453860e-06      	2.275378e-03      	2.331645e-02      
1.078079e-01      	1.300093e-05      	1.833040e-06      	2.345887e-03      	2.331645e-02      
1.108447e-01      	6.730296e-06      	1.339559e-06      	2.421051e-03      	2.331645e-02      
1.140576e-01      	7.018437e-06      	1.453727e-06      	2.501360e-03      	2.331645e-02      
1.174623e-01      	9.418064e-06      	1.684948e-06      	2.587364e-03      	2.331645e-02      
1.210765e-01      	1.578616e-05      	2.211434e-06      	2.679695e-03      	2.331645e-02      
1.249202e-01      	1.122932e-05      	2.020277e-06      	2.779091e-03      	2.331645e-02      
