# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:21:02
# Type: Specular
# Input file indices: 16240+16241+16242+16243
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.86367   86    31   158.9   6        133.5   65       84.8    125       False        158   0.694759   16240   1      /SNS/REF_M/IPTS-10790/data/REF_M_16240_histo.nxs
# 3.8815    118   5    159     6        133.5   65       84.8    125       False        158   0.694759   16241   2      /SNS/REF_M/IPTS-10790/data/REF_M_16241_histo.nxs
# 2.7227    113   3    160.6   7        133.5   65       84.8    125       False        158   1.37271    16242   2      /SNS/REF_M/IPTS-10790/data/REF_M_16242_histo.nxs
# 2.15278   115   2    161.4   8        133.5   65       84.8    125       False        158   2.72533    16243   2      /SNS/REF_M/IPTS-10790/data/REF_M_16243_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.120052e-02      	9.581254e-01      	8.557948e-03      	2.261856e-04      	5.939410e-03      
1.132708e-02      	9.530052e-01      	7.762464e-03      	2.288076e-04      	5.939410e-03      
1.145653e-02      	9.534052e-01      	7.273202e-03      	2.314920e-04      	5.939410e-03      
1.158897e-02      	9.515614e-01      	6.866773e-03      	2.342406e-04      	5.939410e-03      
1.172452e-02      	9.489048e-01      	6.605798e-03      	2.370565e-04      	5.939410e-03      
1.186327e-02      	9.434715e-01      	6.395969e-03      	2.399414e-04      	5.939410e-03      
1.200534e-02      	9.635171e-01      	6.380201e-03      	2.428984e-04      	5.939410e-03      
1.215086e-02      	9.390256e-01      	6.141832e-03      	2.459301e-04      	5.939410e-03      
1.229995e-02      	9.476737e-01      	6.061788e-03      	2.490396e-04      	5.939410e-03      
1.245275e-02      	9.518097e-01      	5.945286e-03      	2.522297e-04      	5.939410e-03      
1.260939e-02      	9.467859e-01      	5.829255e-03      	2.555036e-04      	5.939410e-03      
1.277002e-02      	9.299236e-01      	5.615294e-03      	2.588650e-04      	5.939410e-03      
1.293479e-02      	9.327029e-01      	5.433360e-03      	2.623172e-04      	5.939410e-03      
1.310387e-02      	9.301221e-01      	5.261271e-03      	2.658641e-04      	5.939410e-03      
1.327743e-02      	9.352732e-01      	5.198642e-03      	2.695096e-04      	5.939410e-03      
1.345565e-02      	9.240685e-01      	5.106391e-03      	2.732582e-04      	5.939410e-03      
1.363872e-02      	9.132619e-01      	4.974455e-03      	2.771141e-04      	5.939410e-03      
1.382685e-02      	9.177647e-01      	4.899821e-03      	2.810821e-04      	5.939410e-03      
1.402023e-02      	9.133630e-01      	4.853032e-03      	2.851672e-04      	5.939410e-03      
1.421909e-02      	9.089422e-01      	4.894664e-03      	2.893749e-04      	5.939410e-03      
1.442369e-02      	8.819447e-01      	4.730735e-03      	2.937107e-04      	5.939410e-03      
1.463425e-02      	8.929269e-01      	4.544368e-03      	2.981808e-04      	5.939410e-03      
1.485106e-02      	8.882188e-01      	4.386216e-03      	3.027914e-04      	5.939410e-03      
1.507438e-02      	8.691250e-01      	4.249679e-03      	3.075495e-04      	5.939410e-03      
1.530452e-02      	8.712489e-01      	4.135401e-03      	3.124622e-04      	5.939410e-03      
1.554180e-02      	8.672898e-01      	4.126858e-03      	3.175375e-04      	5.939410e-03      
1.578656e-02      	8.360264e-01      	4.112471e-03      	3.227838e-04      	5.939410e-03      
1.603914e-02      	8.403900e-01      	4.117171e-03      	3.282095e-04      	5.939410e-03      
1.629994e-02      	7.986541e-01      	3.905177e-03      	3.338249e-04      	5.939410e-03      
