# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:07:48
# Type: Specular
# Input file indices: 16232+16233+16234+16235
# Extracted states: -
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.84592   86    36   159.5   6        134    64       84.8    125       False        158   0.695226   16232   1      /SNS/REF_M/IPTS-10790/data/REF_M_16232_histo.nxs
# 3.85478   113   5    159.6   6        134    64       84.8    125       False        158   0.695226   16233   2      /SNS/REF_M/IPTS-10790/data/REF_M_16233_histo.nxs
# 2.77332   114   5    161.3   7        134    64       84.8    125       False        158   1.37317    16234   2      /SNS/REF_M/IPTS-10790/data/REF_M_16234_histo.nxs
# 1.55597   114   4    161.9   7        134    64       84.8    125       False        158   2.72487    16235   2      /SNS/REF_M/IPTS-10790/data/REF_M_16235_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.105293e-02      	9.138770e-01      	7.134290e-03      	2.256119e-04      	5.861147e-03      
1.117782e-02      	9.120960e-01      	6.483557e-03      	2.282259e-04      	5.861147e-03      
1.130557e-02      	9.175509e-01      	6.094145e-03      	2.309021e-04      	5.861147e-03      
1.143627e-02      	9.126333e-01      	5.741986e-03      	2.336421e-04      	5.861147e-03      
1.157003e-02      	9.111579e-01      	5.527329e-03      	2.364492e-04      	5.861147e-03      
1.170695e-02      	8.999994e-01      	5.330981e-03      	2.393250e-04      	5.861147e-03      
1.184715e-02      	8.969267e-01      	5.245499e-03      	2.422726e-04      	5.861147e-03      
1.199075e-02      	8.951278e-01      	5.116520e-03      	2.452947e-04      	5.861147e-03      
1.213788e-02      	8.947015e-01      	5.022749e-03      	2.483941e-04      	5.861147e-03      
1.228866e-02      	8.935046e-01      	4.910442e-03      	2.515739e-04      	5.861147e-03      
1.244324e-02      	8.791687e-01      	4.784151e-03      	2.548373e-04      	5.861147e-03      
1.260175e-02      	8.816264e-01      	4.662466e-03      	2.581876e-04      	5.861147e-03      
1.276435e-02      	8.819767e-01      	4.505012e-03      	2.616284e-04      	5.861147e-03      
1.293121e-02      	8.691470e-01      	4.332382e-03      	2.651636e-04      	5.861147e-03      
1.310248e-02      	8.729119e-01      	4.278319e-03      	2.687969e-04      	5.861147e-03      
1.327835e-02      	8.662621e-01      	4.212144e-03      	2.725328e-04      	5.861147e-03      
1.345901e-02      	8.528511e-01      	4.093542e-03      	2.763756e-04      	5.861147e-03      
1.364465e-02      	8.632357e-01      	4.049057e-03      	2.803300e-04      	5.861147e-03      
1.383549e-02      	8.510384e-01      	3.988570e-03      	2.844009e-04      	5.861147e-03      
1.403173e-02      	8.437809e-01      	4.013868e-03      	2.885940e-04      	5.861147e-03      
1.423363e-02      	8.315331e-01      	3.912244e-03      	2.929145e-04      	5.861147e-03      
1.444142e-02      	8.415218e-01      	3.757759e-03      	2.973686e-04      	5.861147e-03      
1.465537e-02      	8.480516e-01      	3.653904e-03      	3.019627e-04      	5.861147e-03      
1.487575e-02      	8.385797e-01      	3.560058e-03      	3.067035e-04      	5.861147e-03      
1.510286e-02      	8.466130e-01      	3.478514e-03      	3.115982e-04      	5.861147e-03      
1.533701e-02      	8.463210e-01      	3.479486e-03      	3.166547e-04      	5.861147e-03      
1.557854e-02      	8.368271e-01      	3.515739e-03      	3.218814e-04      	5.861147e-03      
1.579074e-02      	8.618476e-01      	5.055600e-03      	3.271761e-04      	5.847424e-03      
1.582780e-02      	8.627560e-01      	3.571425e-03      	3.272865e-04      	5.861147e-03      
1.604750e-02      	8.824285e-01      	4.043858e-03      	3.327670e-04      	5.847424e-03      
1.608516e-02      	8.789331e-01      	3.521266e-03      	3.328804e-04      	5.861147e-03      
1.631275e-02      	8.705069e-01      	3.700724e-03      	3.385558e-04      	5.847424e-03      
1.658691e-02      	7.680857e-01      	3.370072e-03      	3.445541e-04      	5.847424e-03      
1.687045e-02      	5.992605e-01      	2.838807e-03      	3.507733e-04      	5.847424e-03      
1.716384e-02      	4.267218e-01      	2.286890e-03      	3.572262e-04      	5.847424e-03      
1.746763e-02      	2.893510e-01      	1.828967e-03      	3.639263e-04      	5.847424e-03      
1.778236e-02      	2.184691e-01      	1.581836e-03      	3.708882e-04      	5.847424e-03      
1.810864e-02      	1.804370e-01      	1.503794e-03      	3.781285e-04      	5.847424e-03      
1.844713e-02      	1.554134e-01      	1.365045e-03      	3.856634e-04      	5.847424e-03      
1.879850e-02      	1.391900e-01      	1.246790e-03      	3.935126e-04      	5.847424e-03      
1.916352e-02      	1.263762e-01      	1.146059e-03      	4.016959e-04      	5.847424e-03      
1.954299e-02      	1.170959e-01      	1.081325e-03      	4.102357e-04      	5.847424e-03      
1.993780e-02      	1.090818e-01      	1.032225e-03      	4.191562e-04      	5.847424e-03      
2.034889e-02      	1.019183e-01      	9.925673e-04      	4.284836e-04      	5.847424e-03      
2.077729e-02      	9.421124e-02      	9.415638e-04      	4.382474e-04      	5.847424e-03      
2.122411e-02      	8.694203e-02      	8.995982e-04      	4.484791e-04      	5.847424e-03      
2.169057e-02      	8.331834e-02      	8.686861e-04      	4.592141e-04      	5.847424e-03      
2.217800e-02      	7.749061e-02      	8.231974e-04      	4.704906e-04      	5.847424e-03      
2.268784e-02      	7.490582e-02      	7.965913e-04      	4.823520e-04      	5.847424e-03      
2.322167e-02      	6.898277e-02      	7.567171e-04      	4.948454e-04      	5.847424e-03      
2.378123e-02      	6.326408e-02      	7.329765e-04      	5.080233e-04      	5.847424e-03      
2.436842e-02      	5.645651e-02      	6.990641e-04      	5.219450e-04      	5.847424e-03      
2.498535e-02      	5.228487e-02      	6.566077e-04      	5.366757e-04      	5.847424e-03      
2.563432e-02      	4.857762e-02      	6.481559e-04      	5.522902e-04      	5.847424e-03      
2.631790e-02      	4.219941e-02      	6.091643e-04      	5.688705e-04      	5.847424e-03      
2.703894e-02      	3.721144e-02      	5.645213e-04      	5.865115e-04      	5.847424e-03      
2.780060e-02      	3.360229e-02      	5.315587e-04      	6.053183e-04      	5.847424e-03      
2.860641e-02      	2.882847e-02      	5.218249e-04      	6.254133e-04      	5.847424e-03      
2.946033e-02      	2.398485e-02      	4.948499e-04      	6.469343e-04      	5.847424e-03      
3.036680e-02      	1.997819e-02      	4.747577e-04      	6.700400e-04      	5.847424e-03      
3.133083e-02      	1.652620e-02      	4.570475e-04      	6.949151e-04      	5.847424e-03      
3.164303e-02      	1.582291e-02      	2.236848e-04      	6.653036e-04      	1.153035e-02      
3.216606e-02      	1.434269e-02      	1.963126e-04      	6.768615e-04      	1.153035e-02      
3.235807e-02      	1.343780e-02      	4.436292e-04      	7.217706e-04      	5.847424e-03      
3.270666e-02      	1.314518e-02      	1.847146e-04      	6.888369e-04      	1.153035e-02      
3.326575e-02      	1.131158e-02      	1.673401e-04      	7.012526e-04      	1.153035e-02      
3.384428e-02      	1.047289e-02      	1.578261e-04      	7.141338e-04      	1.153035e-02      
3.444330e-02      	9.394831e-03      	1.484076e-04      	7.275076e-04      	1.153035e-02      
3.506389e-02      	8.534666e-03      	1.424141e-04      	7.414029e-04      	1.153035e-02      
3.570727e-02      	7.624449e-03      	1.416213e-04      	7.558528e-04      	1.153035e-02      
3.637470e-02      	7.072595e-03      	1.339331e-04      	7.708896e-04      	1.153035e-02      
3.706755e-02      	6.752460e-03      	1.266659e-04      	7.865518e-04      	1.153035e-02      
3.778731e-02      	6.195768e-03      	1.172514e-04      	8.028796e-04      	1.153035e-02      
3.853557e-02      	6.071651e-03      	1.139481e-04      	8.199171e-04      	1.153035e-02      
3.931407e-02      	5.528815e-03      	1.076587e-04      	8.377123e-04      	1.153035e-02      
4.012467e-02      	5.493868e-03      	1.068869e-04      	8.563174e-04      	1.153035e-02      
4.096940e-02      	5.292635e-03      	1.036317e-04      	8.757910e-04      	1.153035e-02      
4.185046e-02      	5.249052e-03      	1.027797e-04      	8.961954e-04      	1.153035e-02      
4.277025e-02      	4.758219e-03      	9.655571e-05      	9.176009e-04      	1.153035e-02      
4.373138e-02      	4.805575e-03      	9.544708e-05      	9.400835e-04      	1.153035e-02      
4.473669e-02      	4.565562e-03      	9.160236e-05      	9.637292e-04      	1.153035e-02      
4.578932e-02      	4.550338e-03      	9.061763e-05      	9.886315e-04      	1.153035e-02      
4.689268e-02      	4.141979e-03      	8.753665e-05      	1.014894e-03      	1.153035e-02      
4.805053e-02      	3.955817e-03      	8.643469e-05      	1.042635e-03      	1.153035e-02      
4.926699e-02      	3.603918e-03      	8.056576e-05      	1.071984e-03      	1.153035e-02      
5.054666e-02      	3.128357e-03      	7.690785e-05      	1.103088e-03      	1.153035e-02      
5.189457e-02      	2.780995e-03      	7.321151e-05      	1.136110e-03      	1.153035e-02      
5.331634e-02      	2.212355e-03      	6.447299e-05      	1.171238e-03      	1.153035e-02      
5.481821e-02      	1.928467e-03      	5.963118e-05      	1.208680e-03      	1.153035e-02      
5.640714e-02      	1.522026e-03      	5.619695e-05      	1.248680e-03      	1.153035e-02      
5.809093e-02      	1.164599e-03      	5.115394e-05      	1.291508e-03      	1.153035e-02      
5.987834e-02      	8.458413e-04      	4.589067e-05      	1.337480e-03      	1.153035e-02      
6.177925e-02      	6.724163e-04      	4.335074e-05      	1.386959e-03      	1.153035e-02      
6.378412e-02      	5.235831e-04      	1.178986e-05      	1.330656e-03      	2.324376e-02      
6.380480e-02      	4.829571e-04      	3.955873e-05      	1.440366e-03      	1.153035e-02      
6.483840e-02      	4.613411e-04      	1.021508e-05      	1.353790e-03      	2.324376e-02      
6.592811e-02      	4.390683e-04      	9.801909e-06      	1.377761e-03      	2.324376e-02      
6.705509e-02      	4.177016e-04      	9.345588e-06      	1.402614e-03      	2.324376e-02      
6.822126e-02      	3.871032e-04      	8.825179e-06      	1.428400e-03      	2.324376e-02      
6.942872e-02      	3.521323e-04      	8.364353e-06      	1.455173e-03      	2.324376e-02      
7.067968e-02      	3.254461e-04      	8.098849e-06      	1.482991e-03      	2.324376e-02      
7.197656e-02      	2.924049e-04      	8.088907e-06      	1.511921e-03      	2.324376e-02      
7.332192e-02      	2.729769e-04      	7.678186e-06      	1.542027e-03      	2.324376e-02      
7.471853e-02      	2.402034e-04      	6.971477e-06      	1.573386e-03      	2.324376e-02      
7.616937e-02      	2.031672e-04      	6.199748e-06      	1.606080e-03      	2.324376e-02      
7.767768e-02      	1.522097e-04      	5.276717e-06      	1.640197e-03      	2.324376e-02      
7.924693e-02      	1.284231e-04      	4.803811e-06      	1.675833e-03      	2.324376e-02      
8.088088e-02      	8.941483e-05      	4.006004e-06      	1.713093e-03      	2.324376e-02      
8.258364e-02      	6.857944e-05      	3.470233e-06      	1.752095e-03      	2.324376e-02      
8.435963e-02      	4.452561e-05      	2.802073e-06      	1.792964e-03      	2.324376e-02      
8.621369e-02      	4.071776e-05      	2.648782e-06      	1.835840e-03      	2.324376e-02      
8.815107e-02      	4.859365e-05      	2.841981e-06      	1.880877e-03      	2.324376e-02      
9.017753e-02      	5.183487e-05      	2.886920e-06      	1.928248e-03      	2.324376e-02      
9.229935e-02      	6.596175e-05      	3.217022e-06      	1.978139e-03      	2.324376e-02      
9.452344e-02      	6.667423e-05      	3.287361e-06      	2.030761e-03      	2.324376e-02      
9.685735e-02      	6.710103e-05      	3.315994e-06      	2.086349e-03      	2.324376e-02      
9.930943e-02      	5.371003e-05      	2.908774e-06      	2.145163e-03      	2.324376e-02      
1.018889e-01      	3.786138e-05      	2.525583e-06      	2.207501e-03      	2.324376e-02      
1.046059e-01      	2.446601e-05      	2.080213e-06      	2.273690e-03      	2.324376e-02      
1.074719e-01      	8.794901e-06      	1.325149e-06      	2.344108e-03      	2.324376e-02      
1.104992e-01      	3.854063e-06      	9.165794e-07      	2.419173e-03      	2.324376e-02      
1.137021e-01      	7.297364e-06      	1.246475e-06      	2.499373e-03      	2.324376e-02      
1.170962e-01      	1.470389e-05      	1.766881e-06      	2.585256e-03      	2.324376e-02      
1.206992e-01      	1.578798e-05      	1.907911e-06      	2.677453e-03      	2.324376e-02      
1.245309e-01      	2.325130e-05      	2.420292e-06      	2.776700e-03      	2.324376e-02      
1.286139e-01      	1.935397e-05      	2.406061e-06      	2.883838e-03      	2.324376e-02      
1.329737e-01      	1.827861e-05      	2.735271e-06      	2.999853e-03      	2.324376e-02      
