# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:07:48
# Type: Specular
# Input file indices: 16232+16233+16234+16235
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.84592   86    36   159.5   6        134    64       84.8    125       False        158   0.695226   16232   1      /SNS/REF_M/IPTS-10790/data/REF_M_16232_histo.nxs
# 3.85478   113   5    159.6   6        134    64       84.8    125       False        158   0.695226   16233   2      /SNS/REF_M/IPTS-10790/data/REF_M_16233_histo.nxs
# 2.77332   114   5    161.3   7        134    64       84.8    125       False        158   1.37317    16234   2      /SNS/REF_M/IPTS-10790/data/REF_M_16234_histo.nxs
# 1.55597   114   4    161.9   7        134    64       84.8    125       False        158   2.72487    16235   2      /SNS/REF_M/IPTS-10790/data/REF_M_16235_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.105293e-02      	9.756526e-01      	7.428854e-03      	2.256119e-04      	5.861147e-03      
1.117782e-02      	9.854875e-01      	6.798274e-03      	2.282259e-04      	5.861147e-03      
1.130557e-02      	9.785328e-01      	6.341892e-03      	2.309021e-04      	5.861147e-03      
1.143627e-02      	9.795349e-01      	5.997603e-03      	2.336421e-04      	5.861147e-03      
1.157003e-02      	9.835671e-01      	5.792439e-03      	2.364492e-04      	5.861147e-03      
1.170695e-02      	9.714737e-01      	5.586201e-03      	2.393250e-04      	5.861147e-03      
1.184715e-02      	9.869304e-01      	5.558141e-03      	2.422726e-04      	5.861147e-03      
1.199075e-02      	9.723740e-01      	5.381280e-03      	2.452947e-04      	5.861147e-03      
1.213788e-02      	9.851782e-01      	5.324400e-03      	2.483941e-04      	5.861147e-03      
1.228866e-02      	9.870379e-01      	5.215049e-03      	2.515739e-04      	5.861147e-03      
1.244324e-02      	9.752594e-01      	5.092795e-03      	2.548373e-04      	5.861147e-03      
1.260175e-02      	9.694382e-01      	4.938025e-03      	2.581876e-04      	5.861147e-03      
1.276435e-02      	9.825984e-01      	4.807630e-03      	2.616284e-04      	5.861147e-03      
1.293121e-02      	9.703230e-01      	4.628597e-03      	2.651636e-04      	5.861147e-03      
1.310248e-02      	9.724637e-01      	4.565306e-03      	2.687969e-04      	5.861147e-03      
1.327835e-02      	9.682704e-01      	4.503149e-03      	2.725328e-04      	5.861147e-03      
1.345901e-02      	9.652569e-01      	4.407662e-03      	2.763756e-04      	5.861147e-03      
1.364465e-02      	9.690767e-01      	4.339579e-03      	2.803300e-04      	5.861147e-03      
1.383549e-02      	9.685010e-01      	4.308141e-03      	2.844009e-04      	5.861147e-03      
1.403173e-02      	9.521650e-01      	4.314153e-03      	2.885940e-04      	5.861147e-03      
