# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:25:30
# Type: Specular
# Input file indices: 16244+16245+16246+16247
# Extracted states: -
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.89045   86    32   159.2   6        133.5   65       84.8    125       False        158   0.694759   16244   1      /SNS/REF_M/IPTS-10790/data/REF_M_16244_histo.nxs
# 3.89045   115   4    159.3   6        133.5   65       84.8    125       False        158   0.694759   16245   2      /SNS/REF_M/IPTS-10790/data/REF_M_16245_histo.nxs
# 2.72898   115   4    160.7   7        133.5   65       84.8    125       False        158   1.37224    16246   2      /SNS/REF_M/IPTS-10790/data/REF_M_16246_histo.nxs
# 2.36048   114   2    161.5   8        133.5   65       84.8    125       False        158   2.72533    16247   2      /SNS/REF_M/IPTS-10790/data/REF_M_16247_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.112288e-02      	9.483195e-01      	8.523680e-03      	2.260132e-04      	5.898241e-03      
1.124856e-02      	9.351840e-01      	7.694494e-03      	2.286325e-04      	5.898241e-03      
1.137712e-02      	9.503880e-01      	7.272670e-03      	2.313140e-04      	5.898241e-03      
1.150865e-02      	9.531393e-01      	6.884881e-03      	2.340596e-04      	5.898241e-03      
1.164325e-02      	9.436847e-01      	6.596791e-03      	2.368723e-04      	5.898241e-03      
1.178104e-02      	9.318653e-01      	6.362953e-03      	2.397540e-04      	5.898241e-03      
1.192213e-02      	9.546191e-01      	6.358039e-03      	2.427077e-04      	5.898241e-03      
1.206664e-02      	9.351682e-01      	6.138272e-03      	2.457360e-04      	5.898241e-03      
1.221470e-02      	9.450948e-01      	6.062912e-03      	2.488418e-04      	5.898241e-03      
1.236644e-02      	9.387392e-01      	5.909614e-03      	2.520281e-04      	5.898241e-03      
1.252199e-02      	9.333320e-01      	5.792817e-03      	2.552982e-04      	5.898241e-03      
1.268150e-02      	9.313512e-01      	5.629660e-03      	2.586556e-04      	5.898241e-03      
1.284514e-02      	9.321582e-01      	5.440892e-03      	2.621037e-04      	5.898241e-03      
1.301305e-02      	9.316080e-01      	5.274845e-03      	2.656463e-04      	5.898241e-03      
1.318540e-02      	9.434014e-01      	5.232763e-03      	2.692872e-04      	5.898241e-03      
1.336239e-02      	9.183140e-01      	5.097336e-03      	2.730311e-04      	5.898241e-03      
1.354419e-02      	9.180544e-01      	4.997530e-03      	2.768822e-04      	5.898241e-03      
