# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:25:30
# Type: Specular
# Input file indices: 16244+16245+16246+16247
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.89045   86    32   159.2   6        133.5   65       84.8    125       False        158   0.694759   16244   1      /SNS/REF_M/IPTS-10790/data/REF_M_16244_histo.nxs
# 3.89045   115   4    159.3   6        133.5   65       84.8    125       False        158   0.694759   16245   2      /SNS/REF_M/IPTS-10790/data/REF_M_16245_histo.nxs
# 2.72898   115   4    160.7   7        133.5   65       84.8    125       False        158   1.37224    16246   2      /SNS/REF_M/IPTS-10790/data/REF_M_16246_histo.nxs
# 2.36048   114   2    161.5   8        133.5   65       84.8    125       False        158   2.72533    16247   2      /SNS/REF_M/IPTS-10790/data/REF_M_16247_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.112288e-02      	9.557832e-01      	8.606968e-03      	2.260132e-04      	5.898241e-03      
1.124856e-02      	9.552884e-01      	7.828300e-03      	2.286325e-04      	5.898241e-03      
1.137712e-02      	9.400939e-01      	7.267692e-03      	2.313140e-04      	5.898241e-03      
1.150865e-02      	9.548216e-01      	6.928831e-03      	2.340596e-04      	5.898241e-03      
1.164325e-02      	9.441561e-01      	6.634240e-03      	2.368723e-04      	5.898241e-03      
1.178104e-02      	9.555919e-01      	6.487473e-03      	2.397540e-04      	5.898241e-03      
1.192213e-02      	9.459082e-01      	6.359770e-03      	2.427077e-04      	5.898241e-03      
1.206664e-02      	9.406268e-01      	6.191509e-03      	2.457360e-04      	5.898241e-03      
1.221470e-02      	9.518656e-01      	6.119857e-03      	2.488418e-04      	5.898241e-03      
1.236644e-02      	9.519660e-01      	5.988060e-03      	2.520281e-04      	5.898241e-03      
1.252199e-02      	9.514166e-01      	5.886592e-03      	2.552982e-04      	5.898241e-03      
1.268150e-02      	9.396508e-01      	5.688029e-03      	2.586556e-04      	5.898241e-03      
1.284514e-02      	9.626678e-01      	5.569466e-03      	2.621037e-04      	5.898241e-03      
1.301305e-02      	9.437211e-01      	5.341695e-03      	2.656463e-04      	5.898241e-03      
1.318540e-02      	9.348759e-01      	5.234478e-03      	2.692872e-04      	5.898241e-03      
1.336239e-02      	9.319318e-01      	5.167102e-03      	2.730311e-04      	5.898241e-03      
1.354419e-02      	9.162826e-01      	5.019127e-03      	2.768822e-04      	5.898241e-03      
1.373101e-02      	9.272896e-01      	4.963185e-03      	2.808451e-04      	5.898241e-03      
1.392305e-02      	9.077661e-01      	4.870998e-03      	2.849249e-04      	5.898241e-03      
1.412054e-02      	9.016315e-01      	4.907593e-03      	2.891271e-04      	5.898241e-03      
1.432371e-02      	8.864810e-01      	4.778248e-03      	2.934571e-04      	5.898241e-03      
1.453282e-02      	8.964687e-01      	4.586885e-03      	2.979211e-04      	5.898241e-03      
1.474812e-02      	8.895546e-01      	4.421370e-03      	3.025253e-04      	5.898241e-03      
1.496989e-02      	8.797218e-01      	4.308974e-03      	3.072767e-04      	5.898241e-03      
1.519844e-02      	8.803920e-01      	4.189181e-03      	3.121826e-04      	5.898241e-03      
1.543408e-02      	8.658554e-01      	4.152669e-03      	3.172505e-04      	5.898241e-03      
1.567713e-02      	8.392839e-01      	4.151072e-03      	3.224891e-04      	5.898241e-03      
1.592797e-02      	8.509461e-01      	4.175515e-03      	3.279067e-04      	5.898241e-03      
