# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:30:55
# Type: Specular
# Input file indices: 16248+16249+16250+16251
# Extracted states: -
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.84592   86    32   159.7   6        134    64       84.8    125       False        158   0.695226   16248   1      /SNS/REF_M/IPTS-10790/data/REF_M_16248_histo.nxs
# 3.75837   115   4    159.7   6        134    64       84.8    125       False        158   0.695226   16249   2      /SNS/REF_M/IPTS-10790/data/REF_M_16249_histo.nxs
# 2.6485    115   4    161     7        134    64       84.8    125       False        158   1.37271    16250   2      /SNS/REF_M/IPTS-10790/data/REF_M_16250_histo.nxs
# 1.77828   115   2    161.9   8        134    64       84.8    125       False        158   2.72487    16251   2      /SNS/REF_M/IPTS-10790/data/REF_M_16251_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.100117e-02      	9.647099e-01      	8.657633e-03      	2.256696e-04      	5.833701e-03      
1.112548e-02      	9.557609e-01      	7.835663e-03      	2.282836e-04      	5.833701e-03      
1.125263e-02      	9.553759e-01      	7.338364e-03      	2.309598e-04      	5.833701e-03      
1.138272e-02      	9.525150e-01      	6.924188e-03      	2.336998e-04      	5.833701e-03      
1.151585e-02      	9.557659e-01      	6.684200e-03      	2.365068e-04      	5.833701e-03      
1.165213e-02      	9.500452e-01      	6.470875e-03      	2.393826e-04      	5.833701e-03      
1.179168e-02      	9.562716e-01      	6.402911e-03      	2.423302e-04      	5.833701e-03      
1.193461e-02      	9.467429e-01      	6.218160e-03      	2.453521e-04      	5.833701e-03      
1.208104e-02      	9.497328e-01      	6.116435e-03      	2.484514e-04      	5.833701e-03      
1.223112e-02      	9.555538e-01      	6.004703e-03      	2.516310e-04      	5.833701e-03      
1.238497e-02      	9.482000e-01      	5.879545e-03      	2.548941e-04      	5.833701e-03      
1.254274e-02      	9.415939e-01      	5.698572e-03      	2.582442e-04      	5.833701e-03      
1.270458e-02      	9.404325e-01      	5.501101e-03      	2.616847e-04      	5.833701e-03      
1.287065e-02      	9.344736e-01      	5.316099e-03      	2.652195e-04      	5.833701e-03      
1.304113e-02      	9.452253e-01      	5.270284e-03      	2.688523e-04      	5.833701e-03      
1.321617e-02      	9.264452e-01      	5.153668e-03      	2.725878e-04      	5.833701e-03      
1.339599e-02      	9.168469e-01      	5.024371e-03      	2.764301e-04      	5.833701e-03      
1.358076e-02      	9.171955e-01      	4.936515e-03      	2.803839e-04      	5.833701e-03      
1.377070e-02      	9.165906e-01      	4.900587e-03      	2.844541e-04      	5.833701e-03      
1.396603e-02      	9.079655e-01      	4.930081e-03      	2.886464e-04      	5.833701e-03      
1.416698e-02      	8.836237e-01      	4.773074e-03      	2.929661e-04      	5.833701e-03      
1.437380e-02      	9.022998e-01      	4.606591e-03      	2.974192e-04      	5.833701e-03      
1.458674e-02      	8.894907e-01      	4.424245e-03      	3.020123e-04      	5.833701e-03      
1.480609e-02      	8.708715e-01      	4.287936e-03      	3.067518e-04      	5.833701e-03      
1.503214e-02      	8.801803e-01      	4.191519e-03      	3.116454e-04      	5.833701e-03      
1.526520e-02      	8.639260e-01      	4.150423e-03      	3.167004e-04      	5.833701e-03      
1.550559e-02      	8.470264e-01      	4.175094e-03      	3.219255e-04      	5.833701e-03      
1.575368e-02      	8.626806e-01      	4.210164e-03      	3.273289e-04      	5.833701e-03      
1.600984e-02      	8.348829e-01      	4.033495e-03      	3.329209e-04      	5.833701e-03      
1.627447e-02      	8.112706e-01      	3.931825e-03      	3.387108e-04      	5.833701e-03      
1.627447e-02      	8.134425e-01      	3.213929e-03      	3.386505e-04      	5.833701e-03      
1.654798e-02      	6.862015e-01      	2.838655e-03      	3.446489e-04      	5.833701e-03      
1.654798e-02      	6.810307e-01      	3.609145e-03      	3.447101e-04      	5.833701e-03      
1.683086e-02      	4.948232e-01      	3.017900e-03      	3.509303e-04      	5.833701e-03      
1.683086e-02      	4.927737e-01      	2.267616e-03      	3.508681e-04      	5.833701e-03      
1.712357e-02      	3.086148e-01      	1.695114e-03      	3.573208e-04      	5.833701e-03      
1.712357e-02      	3.110865e-01      	2.331663e-03      	3.573841e-04      	5.833701e-03      
1.742664e-02      	1.605837e-01      	1.175979e-03      	3.640208e-04      	5.833701e-03      
1.774063e-02      	1.024346e-01      	9.337254e-04      	3.709824e-04      	5.833701e-03      
1.806615e-02      	8.033316e-02      	8.662196e-04      	3.782222e-04      	5.833701e-03      
1.840383e-02      	6.789727e-02      	7.800677e-04      	3.857567e-04      	5.833701e-03      
1.875438e-02      	6.281028e-02      	7.253484e-04      	3.936051e-04      	5.833701e-03      
1.911855e-02      	6.055618e-02      	6.882460e-04      	4.017875e-04      	5.833701e-03      
1.949713e-02      	5.846509e-02      	6.636458e-04      	4.103262e-04      	5.833701e-03      
1.989101e-02      	5.699544e-02      	6.487904e-04      	4.192454e-04      	5.833701e-03      
2.030114e-02      	5.711738e-02      	6.469302e-04      	4.285713e-04      	5.833701e-03      
2.072853e-02      	5.477533e-02      	6.255584e-04      	4.383334e-04      	5.833701e-03      
2.117430e-02      	5.406635e-02      	6.188752e-04      	4.485630e-04      	5.833701e-03      
2.163967e-02      	5.331338e-02      	6.064549e-04      	4.592956e-04      	5.833701e-03      
2.212595e-02      	5.167853e-02      	5.871828e-04      	4.705692e-04      	5.833701e-03      
2.263460e-02      	5.002220e-02      	5.686017e-04      	4.824274e-04      	5.833701e-03      
2.316718e-02      	4.740935e-02      	5.481620e-04      	4.949170e-04      	5.833701e-03      
2.372542e-02      	4.605922e-02      	5.469209e-04      	5.080906e-04      	5.833701e-03      
2.431124e-02      	4.210603e-02      	5.280908e-04      	5.220073e-04      	5.833701e-03      
2.492671e-02      	3.877609e-02      	4.945838e-04      	5.367324e-04      	5.833701e-03      
2.557416e-02      	3.488965e-02      	4.803719e-04      	5.523403e-04      	5.833701e-03      
2.625613e-02      	3.118652e-02      	4.581389e-04      	5.689131e-04      	5.833701e-03      
2.697548e-02      	2.709862e-02      	4.214332e-04      	5.865456e-04      	5.833701e-03      
2.773535e-02      	2.351456e-02      	3.888900e-04      	6.053423e-04      	5.833701e-03      
2.853928e-02      	2.009301e-02      	3.809364e-04      	6.254261e-04      	5.833701e-03      
2.939120e-02      	1.623450e-02      	3.559753e-04      	6.469341e-04      	5.833701e-03      
3.029554e-02      	1.311109e-02      	3.362789e-04      	6.700249e-04      	5.833701e-03      
3.125730e-02      	9.616371e-03      	3.047724e-04      	6.948825e-04      	5.833701e-03      
3.226953e-02      	7.365202e-03      	8.389134e-05      	6.764205e-04      	1.156744e-02      
3.228213e-02      	7.010252e-03      	2.802877e-04      	7.217182e-04      	5.833701e-03      
3.281188e-02      	6.065902e-03      	7.468579e-05      	6.883928e-04      	1.156744e-02      
3.337276e-02      	4.923718e-03      	6.563952e-05      	7.008055e-04      	1.156744e-02      
3.337644e-02      	5.141683e-03      	2.836040e-04      	7.507795e-04      	5.833701e-03      
3.395316e-02      	4.042948e-03      	5.822377e-05      	7.136837e-04      	1.156744e-02      
3.455410e-02      	3.217080e-03      	5.150954e-05      	7.270547e-04      	1.156744e-02      
3.517669e-02      	2.662315e-03      	4.715307e-05      	7.409475e-04      	1.156744e-02      
3.582214e-02      	2.128402e-03      	4.433923e-05      	7.553950e-04      	1.156744e-02      
