# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:30:55
# Type: Specular
# Input file indices: 16248+16249+16250+16251
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.84592   86    32   159.7   6        134    64       84.8    125       False        158   0.695226   16248   1      /SNS/REF_M/IPTS-10790/data/REF_M_16248_histo.nxs
# 3.75837   115   4    159.7   6        134    64       84.8    125       False        158   0.695226   16249   2      /SNS/REF_M/IPTS-10790/data/REF_M_16249_histo.nxs
# 2.6485    115   4    161     7        134    64       84.8    125       False        158   1.37271    16250   2      /SNS/REF_M/IPTS-10790/data/REF_M_16250_histo.nxs
# 1.77828   115   2    161.9   8        134    64       84.8    125       False        158   2.72487    16251   2      /SNS/REF_M/IPTS-10790/data/REF_M_16251_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
1.100117e-02      	9.631765e-01      	8.669412e-03      	2.256696e-04      	5.833701e-03      
1.112548e-02      	9.437983e-01      	7.798703e-03      	2.282836e-04      	5.833701e-03      
1.125263e-02      	9.672350e-01      	7.405696e-03      	2.309598e-04      	5.833701e-03      
1.138272e-02      	9.544170e-01      	6.947616e-03      	2.336998e-04      	5.833701e-03      
1.151585e-02      	9.574424e-01      	6.705761e-03      	2.365068e-04      	5.833701e-03      
1.165213e-02      	9.535865e-01      	6.499046e-03      	2.393826e-04      	5.833701e-03      
1.179168e-02      	9.670966e-01      	6.457827e-03      	2.423302e-04      	5.833701e-03      
1.193461e-02      	9.490891e-01      	6.240680e-03      	2.453521e-04      	5.833701e-03      
1.208104e-02      	9.611705e-01      	6.171330e-03      	2.484514e-04      	5.833701e-03      
1.223112e-02      	9.379830e-01      	5.956448e-03      	2.516310e-04      	5.833701e-03      
1.238497e-02      	9.378087e-01      	5.856794e-03      	2.548941e-04      	5.833701e-03      
1.254274e-02      	9.368889e-01      	5.695665e-03      	2.582442e-04      	5.833701e-03      
1.270458e-02      	9.499039e-01      	5.544434e-03      	2.616847e-04      	5.833701e-03      
1.287065e-02      	9.405250e-01      	5.347374e-03      	2.652195e-04      	5.833701e-03      
1.304113e-02      	9.346144e-01      	5.249099e-03      	2.688523e-04      	5.833701e-03      
1.321617e-02      	9.345905e-01      	5.190611e-03      	2.725878e-04      	5.833701e-03      
1.339599e-02      	9.292792e-01      	5.073552e-03      	2.764301e-04      	5.833701e-03      
1.358076e-02      	9.212170e-01      	4.959716e-03      	2.803839e-04      	5.833701e-03      
1.377070e-02      	9.208484e-01      	4.924456e-03      	2.844541e-04      	5.833701e-03      
1.396603e-02      	9.018843e-01      	4.922852e-03      	2.886464e-04      	5.833701e-03      
1.416698e-02      	8.924640e-01      	4.810348e-03      	2.929661e-04      	5.833701e-03      
1.437380e-02      	9.067092e-01      	4.629509e-03      	2.974192e-04      	5.833701e-03      
1.458674e-02      	8.976006e-01      	4.456653e-03      	3.020123e-04      	5.833701e-03      
1.480609e-02      	8.800390e-01      	4.322709e-03      	3.067518e-04      	5.833701e-03      
1.503214e-02      	8.831409e-01      	4.208897e-03      	3.116454e-04      	5.833701e-03      
1.526520e-02      	8.691437e-01      	4.173750e-03      	3.167004e-04      	5.833701e-03      
1.550559e-02      	8.459593e-01      	4.181718e-03      	3.219255e-04      	5.833701e-03      
1.575368e-02      	8.577820e-01      	4.206544e-03      	3.273289e-04      	5.833701e-03      
1.600984e-02      	8.499056e-01      	4.082615e-03      	3.329209e-04      	5.833701e-03      
1.627447e-02      	8.081666e-01      	3.932530e-03      	3.387108e-04      	5.833701e-03      
1.627447e-02      	8.041191e-01      	3.147746e-03      	3.386505e-04      	5.833701e-03      
1.654798e-02      	6.831092e-01      	2.791257e-03      	3.446489e-04      	5.833701e-03      
1.654798e-02      	6.669533e-01      	3.576858e-03      	3.447101e-04      	5.833701e-03      
1.683086e-02      	4.885281e-01      	3.004593e-03      	3.509303e-04      	5.833701e-03      
1.683086e-02      	4.884263e-01      	2.221803e-03      	3.508681e-04      	5.833701e-03      
1.712357e-02      	2.969249e-01      	1.631647e-03      	3.573208e-04      	5.833701e-03      
1.712357e-02      	2.999809e-01      	2.293670e-03      	3.573841e-04      	5.833701e-03      
1.742664e-02      	1.521260e-01      	1.122582e-03      	3.640208e-04      	5.833701e-03      
1.774063e-02      	9.233986e-02      	8.686863e-04      	3.709824e-04      	5.833701e-03      
1.806615e-02      	7.091688e-02      	7.974703e-04      	3.782222e-04      	5.833701e-03      
1.840383e-02      	6.193615e-02      	7.305102e-04      	3.857567e-04      	5.833701e-03      
1.875438e-02      	5.733482e-02      	6.795360e-04      	3.936051e-04      	5.833701e-03      
1.911855e-02      	5.544218e-02      	6.458717e-04      	4.017875e-04      	5.833701e-03      
1.949713e-02      	5.534413e-02      	6.335150e-04      	4.103262e-04      	5.833701e-03      
1.989101e-02      	5.454594e-02      	6.228376e-04      	4.192454e-04      	5.833701e-03      
2.030114e-02      	5.443551e-02      	6.197102e-04      	4.285713e-04      	5.833701e-03      
2.072853e-02      	5.254556e-02      	6.012687e-04      	4.383334e-04      	5.833701e-03      
2.117430e-02      	5.322540e-02      	6.027962e-04      	4.485630e-04      	5.833701e-03      
2.163967e-02      	5.178129e-02      	5.866470e-04      	4.592956e-04      	5.833701e-03      
2.212595e-02      	4.889547e-02      	5.603684e-04      	4.705692e-04      	5.833701e-03      
2.263460e-02      	4.950590e-02      	5.552750e-04      	4.824274e-04      	5.833701e-03      
2.316718e-02      	4.706664e-02      	5.362290e-04      	4.949170e-04      	5.833701e-03      
2.372542e-02      	4.412655e-02      	5.253398e-04      	5.080906e-04      	5.833701e-03      
2.431124e-02      	3.991422e-02      	5.045293e-04      	5.220073e-04      	5.833701e-03      
2.492671e-02      	3.913714e-02      	4.878453e-04      	5.367324e-04      	5.833701e-03      
2.557416e-02      	3.378140e-02      	4.638763e-04      	5.523403e-04      	5.833701e-03      
2.625613e-02      	3.070139e-02      	4.462475e-04      	5.689131e-04      	5.833701e-03      
2.697548e-02      	2.738619e-02      	4.158982e-04      	5.865456e-04      	5.833701e-03      
2.773535e-02      	2.385270e-02      	3.844775e-04      	6.053423e-04      	5.833701e-03      
2.853928e-02      	1.962667e-02      	3.695074e-04      	6.254261e-04      	5.833701e-03      
2.939120e-02      	1.603760e-02      	3.473433e-04      	6.469341e-04      	5.833701e-03      
3.029554e-02      	1.359784e-02      	3.361849e-04      	6.700249e-04      	5.833701e-03      
3.125730e-02      	9.567842e-03      	2.984943e-04      	6.948825e-04      	5.833701e-03      
3.226953e-02      	7.130207e-03      	8.226086e-05      	6.764205e-04      	1.156744e-02      
3.228213e-02      	6.928693e-03      	2.733571e-04      	7.217182e-04      	5.833701e-03      
3.281188e-02      	6.116431e-03      	7.477703e-05      	6.883928e-04      	1.156744e-02      
3.337276e-02      	4.793807e-03      	6.454562e-05      	7.008055e-04      	1.156744e-02      
3.337644e-02      	5.047833e-03      	2.756063e-04      	7.507795e-04      	5.833701e-03      
3.395316e-02      	3.778095e-03      	5.608684e-05      	7.136837e-04      	1.156744e-02      
3.455410e-02      	3.041275e-03      	4.991409e-05      	7.270547e-04      	1.156744e-02      
3.517669e-02      	2.359939e-03      	4.423422e-05      	7.409475e-04      	1.156744e-02      
