# Datafile created by QuickNXS 1.1.6
# Date: 2019-07-13 22:09:54
# Type: Specular
# Input file indices: 32310+[32311,32315]+[32313,32314]
# Extracted states: On_Off
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth          number  File                                            
# 1      0   0   189     9        131.5   95       54      100       189   -0.00280144  32298   /SNS/REF_M/IPTS-23754/data/REF_M_32298_histo.nxs
# 2      0   0   188.8   11       132     96       54      100       189   -0.00280144  32299   /SNS/REF_M/IPTS-23754/data/REF_M_32299_histo.nxs
# 3      0   0   188.9   15       134     96       54      100       189   -0.00280144  32300   /SNS/REF_M/IPTS-23754/data/REF_M_32300_histo.nxs
# 
# [Data Runs]
# scale     P0  PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth           number         DB_ID  File                                                                                                      
# 5.5335    7   18   156.6   8        122.5   47       116     50        False        189   0.000933812   32310          1      /SNS/REF_M/IPTS-23754/data/REF_M_32310_histo.nxs                                                          
# 3.98107   5   7    174.5   8        122.5   47       116     50        False        189   1.0384        [32311,32315]  2      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32311_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32315_histo.nxs']
# 3.17687   5   5    179     8        122.5   47       116     50        False        189   3.60732       [32313,32314]  3      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32313_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32314_histo.nxs']
# 
# [Global Options]
# name           value
# sample_length  10   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
7.777338e-03      	9.924650e-01      	2.983388e-02      	1.585604e-04      	4.945023e-03      
7.851384e-03      	1.028793e+00      	2.970542e-02      	1.600973e-04      	4.945023e-03      
7.926854e-03      	9.241127e-01      	2.709580e-02      	1.616645e-04      	4.945023e-03      
8.003788e-03      	9.929254e-01      	2.829300e-02      	1.632630e-04      	4.945023e-03      
8.082230e-03      	9.688896e-01      	2.668783e-02      	1.648938e-04      	4.945023e-03      
8.162226e-03      	1.021057e+00      	2.656913e-02      	1.665577e-04      	4.945023e-03      
8.243820e-03      	9.898574e-01      	2.517067e-02      	1.682558e-04      	4.945023e-03      
8.327063e-03      	9.928661e-01      	2.419793e-02      	1.699893e-04      	4.945023e-03      
8.412003e-03      	1.030719e+00      	2.428758e-02      	1.717591e-04      	4.945023e-03      
8.498695e-03      	1.026549e+00      	2.376031e-02      	1.735666e-04      	4.945023e-03      
8.587192e-03      	9.456561e-01      	2.183513e-02      	1.754129e-04      	4.945023e-03      
8.677551e-03      	1.003939e+00      	2.177171e-02      	1.772993e-04      	4.945023e-03      
8.769832e-03      	9.731650e-01      	2.067172e-02      	1.792271e-04      	4.945023e-03      
8.864097e-03      	1.027116e+00      	2.074646e-02      	1.811978e-04      	4.945023e-03      
8.960410e-03      	9.877247e-01      	1.990352e-02      	1.832127e-04      	4.945023e-03      
9.058840e-03      	9.761762e-01      	1.937247e-02      	1.852734e-04      	4.945023e-03      
9.159455e-03      	9.480890e-01      	1.853700e-02      	1.873815e-04      	4.945023e-03      
9.262331e-03      	9.850072e-01      	1.853441e-02      	1.895387e-04      	4.945023e-03      
9.367545e-03      	9.925539e-01      	1.822907e-02      	1.917467e-04      	4.945023e-03      
9.475176e-03      	9.887349e-01      	1.775225e-02      	1.940073e-04      	4.945023e-03      
9.585309e-03      	1.012013e+00      	1.751949e-02      	1.963225e-04      	4.945023e-03      
9.698032e-03      	9.779528e-01      	1.644577e-02      	1.986943e-04      	4.945023e-03      
9.813438e-03      	1.000180e+00      	1.630376e-02      	2.011248e-04      	4.945023e-03      
9.931624e-03      	9.899615e-01      	1.609213e-02      	2.036163e-04      	4.945023e-03      
1.005269e-02      	9.986578e-01      	1.602891e-02      	2.061711e-04      	4.945023e-03      
1.017675e-02      	9.878859e-01      	1.569394e-02      	2.087916e-04      	4.945023e-03      
1.030390e-02      	1.000664e+00      	1.525352e-02      	2.114805e-04      	4.945023e-03      
1.043428e-02      	1.006898e+00      	1.449768e-02      	2.142405e-04      	4.945023e-03      
1.056799e-02      	1.021480e+00      	1.402146e-02      	2.170746e-04      	4.945023e-03      
1.070518e-02      	1.005707e+00      	1.351829e-02      	2.199856e-04      	4.945023e-03      
1.084597e-02      	9.983559e-01      	1.306748e-02      	2.229770e-04      	4.945023e-03      
1.099052e-02      	1.004101e+00      	1.247976e-02      	2.260520e-04      	4.945023e-03      
1.113897e-02      	1.014238e+00      	1.219809e-02      	2.292144e-04      	4.945023e-03      
1.129149e-02      	9.983144e-01      	1.199659e-02      	2.324678e-04      	4.945023e-03      
1.144824e-02      	1.010748e+00      	1.181376e-02      	2.358164e-04      	4.945023e-03      
1.160941e-02      	1.044236e+00      	1.146594e-02      	2.392645e-04      	4.945023e-03      
1.177518e-02      	1.012667e+00      	1.111512e-02      	2.428166e-04      	4.945023e-03      
1.194575e-02      	1.003862e+00      	1.064303e-02      	2.464775e-04      	4.945023e-03      
1.212133e-02      	1.026112e+00      	1.055238e-02      	2.502524e-04      	4.945023e-03      
1.230216e-02      	1.026681e+00      	1.022560e-02      	2.541468e-04      	4.945023e-03      
1.248846e-02      	1.053653e+00      	1.016493e-02      	2.581666e-04      	4.945023e-03      
1.268049e-02      	1.050152e+00      	1.004888e-02      	2.623179e-04      	4.945023e-03      
1.287851e-02      	1.009161e+00      	9.664788e-03      	2.666074e-04      	4.945023e-03      
1.308283e-02      	1.039705e+00      	9.808296e-03      	2.710423e-04      	4.945023e-03      
1.329372e-02      	1.017680e+00      	9.758606e-03      	2.756301e-04      	4.945023e-03      
1.351153e-02      	1.047556e+00      	9.624374e-03      	2.803792e-04      	4.945023e-03      
1.373660e-02      	1.042204e+00      	9.393179e-03      	2.852981e-04      	4.945023e-03      
1.396929e-02      	1.042382e+00      	9.317353e-03      	2.903965e-04      	4.945023e-03      
1.421000e-02      	1.045239e+00      	9.276775e-03      	2.956843e-04      	4.945023e-03      
1.445915e-02      	1.037051e+00      	9.213234e-03      	3.011726e-04      	4.945023e-03      
