x,y_uu,y_dd
7.7773380E-03,1.0000010E+00,1.0000010E+00
7.8513840E-03,1.0000010E+00,1.0000010E+00
7.9268540E-03,1.0000010E+00,1.0000010E+00
8.0037880E-03,1.0000010E+00,1.0000010E+00
8.0822300E-03,1.0000010E+00,1.0000010E+00
8.1622260E-03,1.0000010E+00,1.0000010E+00
8.2438200E-03,1.0000010E+00,1.0000010E+00
8.3270630E-03,1.0000010E+00,1.0000010E+00
8.4120030E-03,1.0000010E+00,1.0000010E+00
8.4986950E-03,1.0000010E+00,1.0000010E+00
8.5871920E-03,1.0000010E+00,1.0000010E+00
8.6775510E-03,1.0000010E+00,1.0000010E+00
8.7698320E-03,1.0000010E+00,1.0000010E+00
8.8640970E-03,1.0000010E+00,1.0000010E+00
8.9604100E-03,1.0000010E+00,1.0000010E+00
9.0588400E-03,1.0000010E+00,1.0000010E+00
9.1594550E-03,1.0000010E+00,1.0000010E+00
9.2623310E-03,1.0000010E+00,1.0000010E+00
9.3675450E-03,1.0000010E+00,1.0000010E+00
9.4751760E-03,1.0000010E+00,1.0000010E+00
9.5853090E-03,1.0000010E+00,1.0000010E+00
9.6980320E-03,1.0000010E+00,1.0000010E+00
9.8134380E-03,1.0000010E+00,1.0000010E+00
9.9316240E-03,1.0000010E+00,1.0000010E+00
1.0052690E-02,1.0000010E+00,1.0000010E+00
1.0176750E-02,1.0000010E+00,1.0000010E+00
1.0303900E-02,1.0000010E+00,1.0000010E+00
1.0434280E-02,1.0000010E+00,1.0000010E+00
1.0567990E-02,1.0000010E+00,1.0000010E+00
1.0705180E-02,1.0000010E+00,1.0000010E+00
1.0845970E-02,1.0000010E+00,1.0000010E+00
1.0990520E-02,1.0000010E+00,1.0000010E+00
1.1138970E-02,1.0000010E+00,1.0000010E+00
1.1291490E-02,1.0000010E+00,1.0000010E+00
1.1448240E-02,1.0000010E+00,1.0000010E+00
1.1609410E-02,1.0000010E+00,1.0000010E+00
1.1775180E-02,1.0000010E+00,1.0000010E+00
1.1945750E-02,1.0000010E+00,1.0000010E+00
1.2121330E-02,1.0000010E+00,1.0000010E+00
1.2302160E-02,1.0000010E+00,1.0000010E+00
1.2488460E-02,1.0000010E+00,1.0000010E+00
1.2680490E-02,1.0000010E+00,1.0000010E+00
1.2878510E-02,1.0000010E+00,1.0000010E+00
1.3082830E-02,1.0000010E+00,1.0000010E+00
1.3293720E-02,1.0000010E+00,1.0000010E+00
1.3511530E-02,1.0000010E+00,1.0000010E+00
1.3736600E-02,1.0000010E+00,1.0000010E+00
1.3969290E-02,1.0000010E+00,1.0000010E+00
1.4210000E-02,1.0000010E+00,1.0000010E+00
1.4459150E-02,1.0000010E+00,1.0000010E+00
1.4717190E-02,1.0000010E+00,1.0000010E+00
1.4984610E-02,1.0000010E+00,1.0000010E+00
1.5261930E-02,9.9292399E-01,9.9293916E-01
1.5549700E-02,9.6808191E-01,9.6812466E-01
1.5848540E-02,9.6192111E-01,9.6196047E-01
1.6159090E-02,8.3990594E-01,8.4014093E-01
1.6482050E-02,7.7240986E-01,7.7265696E-01
1.6818190E-02,7.4564027E-01,7.4585567E-01
1.7168320E-02,4.9674793E-01,4.9723625E-01
1.7398340E-02,4.5499913E-01,4.5544847E-01
1.7533340E-02,4.3859664E-01,4.3901918E-01
1.7560890E-02,4.3571002E-01,4.3612704E-01
1.7726510E-02,3.1768104E-01,3.1824969E-01
1.7895280E-02,2.5183304E-01,2.5240778E-01
1.8067290E-02,2.1655950E-01,2.1709938E-01
1.8242650E-02,1.9239040E-01,1.9288779E-01
1.8421440E-02,1.7425755E-01,1.7471129E-01
1.8603760E-02,1.3418581E-01,1.3463764E-01
1.8789740E-02,1.1523352E-01,1.1564604E-01
1.8979470E-02,1.0155602E-01,1.0192721E-01
1.9173070E-02,9.0725231E-02,9.1056173E-02
1.9370660E-02,8.1786467E-02,8.2078941E-02
1.9572370E-02,7.4221708E-02,7.4477690E-02
1.9778320E-02,6.7706259E-02,6.7927754E-02
1.9988650E-02,6.2018161E-02,6.2207140E-02
2.0203500E-02,5.6997754E-02,5.7156139E-02
2.0423030E-02,5.2525352E-02,5.2655012E-02
2.0647370E-02,4.8509519E-02,4.8612279E-02
2.0876700E-02,4.4877553E-02,4.4955194E-02
2.1111180E-02,4.1571639E-02,4.1625914E-02
2.1350990E-02,3.8544597E-02,3.8577234E-02
2.1596310E-02,3.5757708E-02,3.5770418E-02
2.1847330E-02,3.3178788E-02,3.3173271E-02
2.2104250E-02,3.0780907E-02,3.0758859E-02
2.2367290E-02,2.8541357E-02,2.8504470E-02
2.2636670E-02,2.6441126E-02,2.6391092E-02
2.2912610E-02,2.4464328E-02,2.4402841E-02
2.3195360E-02,2.2597586E-02,2.2526339E-02
2.3485180E-02,2.0829900E-02,2.0750584E-02
2.3782340E-02,1.9152407E-02,1.9066710E-02
2.4087110E-02,1.7558254E-02,1.7467850E-02
2.4399790E-02,1.6042287E-02,1.5948836E-02
2.4720700E-02,1.4601008E-02,1.4506143E-02
2.5050160E-02,1.3232556E-02,1.3137872E-02
2.5388520E-02,1.1936451E-02,1.1843499E-02
2.5736140E-02,1.0713569E-02,1.0623833E-02
2.6093420E-02,9.5658825E-03,9.4807725E-03
