# Datafile created by QuickNXS 1.1.6
# Date: 2019-07-13 22:09:54
# Type: Specular
# Input file indices: 32310+[32311,32315]+[32313,32314]
# Extracted states: Off_Off
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth          number  File                                            
# 1      0   0   189     9        131.5   95       54      100       189   -0.00280144  32298   /SNS/REF_M/IPTS-23754/data/REF_M_32298_histo.nxs
# 2      0   0   188.8   11       132     96       54      100       189   -0.00280144  32299   /SNS/REF_M/IPTS-23754/data/REF_M_32299_histo.nxs
# 3      0   0   188.9   15       134     96       54      100       189   -0.00280144  32300   /SNS/REF_M/IPTS-23754/data/REF_M_32300_histo.nxs
# 
# [Data Runs]
# scale     P0  PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth           number         DB_ID  File                                                                                                      
# 5.5335    7   18   156.6   8        122.5   47       116     50        False        189   0.000933812   32310          1      /SNS/REF_M/IPTS-23754/data/REF_M_32310_histo.nxs                                                          
# 3.98107   5   7    174.5   8        122.5   47       116     50        False        189   1.0384        [32311,32315]  2      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32311_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32315_histo.nxs']
# 3.17687   5   5    179     8        122.5   47       116     50        False        189   3.60732       [32313,32314]  3      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32313_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32314_histo.nxs']
# 
# [Global Options]
# name           value
# sample_length  10   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
7.777338e-03      	9.986901e-01      	2.995424e-02      	1.585604e-04      	4.945023e-03      
7.851384e-03      	9.989309e-01      	2.919870e-02      	1.600973e-04      	4.945023e-03      
7.926854e-03      	9.899431e-01      	2.819989e-02      	1.616645e-04      	4.945023e-03      
8.003788e-03      	9.901253e-01      	2.820843e-02      	1.632630e-04      	4.945023e-03      
8.082230e-03      	9.616096e-01      	2.656567e-02      	1.648938e-04      	4.945023e-03      
8.162226e-03      	1.014373e+00      	2.644616e-02      	1.665577e-04      	4.945023e-03      
8.243820e-03      	9.538851e-01      	2.460637e-02      	1.682558e-04      	4.945023e-03      
8.327063e-03      	9.430800e-01      	2.347603e-02      	1.699893e-04      	4.945023e-03      
8.412003e-03      	9.550838e-01      	2.320538e-02      	1.717591e-04      	4.945023e-03      
8.498695e-03      	9.609567e-01      	2.283734e-02      	1.735666e-04      	4.945023e-03      
8.587192e-03      	1.003748e+00      	2.260871e-02      	1.754129e-04      	4.945023e-03      
8.677551e-03      	9.683869e-01      	2.129972e-02      	1.772993e-04      	4.945023e-03      
8.769832e-03      	9.824559e-01      	2.077748e-02      	1.792271e-04      	4.945023e-03      
8.864097e-03      	9.740599e-01      	2.010333e-02      	1.811978e-04      	4.945023e-03      
8.960410e-03      	9.934011e-01      	1.995982e-02      	1.832127e-04      	4.945023e-03      
9.058840e-03      	9.751755e-01      	1.934599e-02      	1.852734e-04      	4.945023e-03      
9.159455e-03      	9.913934e-01      	1.903509e-02      	1.873815e-04      	4.945023e-03      
9.262331e-03      	9.637313e-01      	1.829626e-02      	1.895387e-04      	4.945023e-03      
9.367545e-03      	9.895924e-01      	1.819012e-02      	1.917467e-04      	4.945023e-03      
9.475176e-03      	9.762155e-01      	1.762030e-02      	1.940073e-04      	4.945023e-03      
9.585309e-03      	9.706336e-01      	1.708567e-02      	1.963225e-04      	4.945023e-03      
9.698032e-03      	9.771181e-01      	1.643245e-02      	1.986943e-04      	4.945023e-03      
9.813438e-03      	1.018928e+00      	1.648592e-02      	2.011248e-04      	4.945023e-03      
9.931624e-03      	9.840799e-01      	1.603533e-02      	2.036163e-04      	4.945023e-03      
1.005269e-02      	9.883982e-01      	1.592848e-02      	2.061711e-04      	4.945023e-03      
1.017675e-02      	9.658262e-01      	1.548591e-02      	2.087916e-04      	4.945023e-03      
1.030390e-02      	9.832700e-01      	1.508914e-02      	2.114805e-04      	4.945023e-03      
1.043428e-02      	9.872258e-01      	1.432511e-02      	2.142405e-04      	4.945023e-03      
1.056799e-02      	1.007746e+00      	1.390392e-02      	2.170746e-04      	4.945023e-03      
1.070518e-02      	9.897157e-01      	1.338750e-02      	2.199856e-04      	4.945023e-03      
1.084597e-02      	9.644445e-01      	1.279498e-02      	2.229770e-04      	4.945023e-03      
1.099052e-02      	9.884208e-01      	1.235780e-02      	2.260520e-04      	4.945023e-03      
1.113897e-02      	9.918003e-01      	1.203491e-02      	2.292144e-04      	4.945023e-03      
1.129149e-02      	9.753107e-01      	1.182631e-02      	2.324678e-04      	4.945023e-03      
1.144824e-02      	1.013765e+00      	1.183259e-02      	2.358164e-04      	4.945023e-03      
1.160941e-02      	1.019072e+00      	1.129797e-02      	2.392645e-04      	4.945023e-03      
1.177518e-02      	1.008760e+00      	1.108501e-02      	2.428166e-04      	4.945023e-03      
1.194575e-02      	1.014677e+00      	1.070928e-02      	2.464775e-04      	4.945023e-03      
1.212133e-02      	1.020329e+00      	1.051395e-02      	2.502524e-04      	4.945023e-03      
1.230216e-02      	1.001737e+00      	1.007440e-02      	2.541468e-04      	4.945023e-03      
1.248846e-02      	1.031854e+00      	1.003719e-02      	2.581666e-04      	4.945023e-03      
1.268049e-02      	1.036087e+00      	9.965272e-03      	2.623179e-04      	4.945023e-03      
1.287851e-02      	1.014835e+00      	9.695092e-03      	2.666074e-04      	4.945023e-03      
1.308283e-02      	1.018095e+00      	9.684645e-03      	2.710423e-04      	4.945023e-03      
1.329372e-02      	9.948359e-01      	9.623921e-03      	2.756301e-04      	4.945023e-03      
1.351153e-02      	1.037780e+00      	9.568633e-03      	2.803792e-04      	4.945023e-03      
1.373660e-02      	1.033106e+00      	9.342402e-03      	2.852981e-04      	4.945023e-03      
1.396929e-02      	1.034255e+00      	9.272049e-03      	2.903965e-04      	4.945023e-03      
1.421000e-02      	1.025364e+00      	9.169275e-03      	2.956843e-04      	4.945023e-03      
1.445915e-02      	1.008186e+00      	9.056947e-03      	3.011726e-04      	4.945023e-03      
1.471719e-02      	1.018280e+00      	8.926493e-03      	3.068732e-04      	4.945023e-03      
1.498461e-02      	1.018373e+00      	8.832164e-03      	3.127988e-04      	4.945023e-03      
1.526193e-02      	9.607816e-01      	8.945841e-03      	3.189633e-04      	4.945023e-03      
1.554970e-02      	8.940454e-01      	8.577348e-03      	3.253815e-04      	4.945023e-03      
1.584854e-02      	8.184722e-01      	7.872870e-03      	3.320699e-04      	4.945023e-03      
1.615909e-02      	7.392975e-01      	7.162670e-03      	3.390461e-04      	4.945023e-03      
1.648205e-02      	6.489556e-01      	6.554803e-03      	3.463294e-04      	4.945023e-03      
1.681819e-02      	5.492433e-01      	5.917659e-03      	3.539410e-04      	4.945023e-03      
1.716832e-02      	4.625400e-01      	5.311599e-03      	3.619038e-04      	4.945023e-03      
1.739834e-02      	4.900094e-01      	6.932806e-03      	3.820293e-04      	1.127114e-02      
1.753334e-02      	3.746006e-01      	4.653085e-03      	3.702433e-04      	4.945023e-03      
1.756089e-02      	3.937401e-01      	5.523827e-03      	3.856521e-04      	1.127114e-02      
1.772651e-02      	3.160884e-01      	4.525438e-03      	3.893448e-04      	1.127114e-02      
1.789528e-02      	2.558911e-01      	3.769775e-03      	3.931094e-04      	1.127114e-02      
1.806729e-02      	2.028109e-01      	3.088558e-03      	3.969481e-04      	1.127114e-02      
1.824265e-02      	1.725975e-01      	2.675146e-03      	4.008630e-04      	1.127114e-02      
1.842144e-02      	1.520897e-01      	2.386471e-03      	4.048565e-04      	1.127114e-02      
1.860376e-02      	1.359340e-01      	2.136546e-03      	4.089311e-04      	1.127114e-02      
1.878974e-02      	1.188974e-01      	1.921320e-03      	4.130891e-04      	1.127114e-02      
1.897947e-02      	1.056067e-01      	1.712695e-03      	4.173332e-04      	1.127114e-02      
1.917307e-02      	9.304422e-02      	1.546082e-03      	4.216662e-04      	1.127114e-02      
1.937066e-02      	8.434980e-02      	1.413361e-03      	4.260909e-04      	1.127114e-02      
1.957237e-02      	7.800873e-02      	1.303226e-03      	4.306102e-04      	1.127114e-02      
1.977832e-02      	6.909195e-02      	1.179702e-03      	4.352272e-04      	1.127114e-02      
1.998865e-02      	6.348816e-02      	1.092433e-03      	4.399452e-04      	1.127114e-02      
2.020350e-02      	5.794689e-02      	1.003883e-03      	4.447676e-04      	1.127114e-02      
2.042303e-02      	5.383300e-02      	9.519114e-04      	4.496978e-04      	1.127114e-02      
2.064737e-02      	4.892002e-02      	8.770446e-04      	4.547396e-04      	1.127114e-02      
2.087670e-02      	4.259885e-02      	7.892629e-04      	4.598968e-04      	1.127114e-02      
2.111118e-02      	4.066440e-02      	7.537872e-04      	4.651734e-04      	1.127114e-02      
2.135099e-02      	3.738937e-02      	7.017484e-04      	4.705738e-04      	1.127114e-02      
2.159631e-02      	3.605181e-02      	6.738622e-04      	4.761023e-04      	1.127114e-02      
2.184733e-02      	3.375120e-02      	6.328194e-04      	4.817637e-04      	1.127114e-02      
2.210425e-02      	3.138371e-02      	5.947065e-04      	4.875627e-04      	1.127114e-02      
2.236729e-02      	2.852605e-02      	5.542267e-04      	4.935046e-04      	1.127114e-02      
2.263667e-02      	2.655644e-02      	5.217394e-04      	4.995946e-04      	1.127114e-02      
2.291261e-02      	2.433775e-02      	4.894492e-04      	5.058386e-04      	1.127114e-02      
2.319536e-02      	2.169650e-02      	4.448322e-04      	5.122424e-04      	1.127114e-02      
2.348518e-02      	2.031662e-02      	4.202732e-04      	5.188124e-04      	1.127114e-02      
2.378234e-02      	1.964814e-02      	4.001601e-04      	5.255551e-04      	1.127114e-02      
2.408711e-02      	1.751888e-02      	3.632473e-04      	5.324776e-04      	1.127114e-02      
2.439979e-02      	1.590347e-02      	3.337709e-04      	5.395872e-04      	1.127114e-02      
2.472070e-02      	1.493899e-02      	3.138768e-04      	5.468916e-04      	1.127114e-02      
2.505016e-02      	1.383548e-02      	2.920254e-04      	5.543992e-04      	1.127114e-02      
2.538852e-02      	1.233005e-02      	2.666344e-04      	5.621185e-04      	1.127114e-02      
2.573614e-02      	1.070803e-02      	2.408932e-04      	5.700587e-04      	1.127114e-02      
2.609342e-02      	1.016565e-02      	2.321683e-04      	5.782297e-04      	1.127114e-02      
2.646076e-02      	8.576403e-03      	2.047767e-04      	5.866417e-04      	1.127114e-02      
2.683859e-02      	7.916932e-03      	1.897105e-04      	5.953057e-04      	1.127114e-02      
2.722736e-02      	6.621446e-03      	1.695432e-04      	6.042333e-04      	1.127114e-02      
2.762756e-02      	6.200574e-03      	1.598628e-04      	6.134369e-04      	1.127114e-02      
2.803971e-02      	4.969708e-03      	1.392182e-04      	6.229296e-04      	1.127114e-02      
2.846433e-02      	4.697806e-03      	1.333731e-04      	6.327256e-04      	1.127114e-02      
2.890202e-02      	3.933082e-03      	1.202910e-04      	6.428396e-04      	1.127114e-02      
2.935337e-02      	3.535906e-03      	1.121596e-04      	6.532878e-04      	1.127114e-02      
2.981905e-02      	3.030908e-03      	1.027092e-04      	6.640872e-04      	1.127114e-02      
3.029974e-02      	2.825890e-03      	1.002327e-04      	6.752559e-04      	1.127114e-02      
3.079618e-02      	2.867147e-03      	9.975072e-05      	6.868137e-04      	1.127114e-02      
3.130916e-02      	2.865619e-03      	9.747942e-05      	6.987814e-04      	1.127114e-02      
3.183952e-02      	3.024183e-03      	9.840695e-05      	7.111816e-04      	1.127114e-02      
3.238815e-02      	3.008501e-03      	9.709061e-05      	7.240385e-04      	1.127114e-02      
3.295603e-02      	3.198183e-03      	9.905125e-05      	7.373783e-04      	1.127114e-02      
3.354417e-02      	3.436683e-03      	1.020339e-04      	7.512290e-04      	1.127114e-02      
3.415369e-02      	3.858225e-03      	1.088667e-04      	7.656211e-04      	1.127114e-02      
3.478577e-02      	3.916781e-03      	1.142388e-04      	7.805875e-04      	1.127114e-02      
3.544169e-02      	4.070371e-03      	1.146600e-04      	7.961637e-04      	1.127114e-02      
3.612281e-02      	4.076904e-03      	1.120969e-04      	8.123885e-04      	1.127114e-02      
3.683063e-02      	3.930305e-03      	1.065698e-04      	8.293038e-04      	1.127114e-02      
3.756675e-02      	3.773617e-03      	1.028765e-04      	8.469556e-04      	1.127114e-02      
3.833289e-02      	3.510979e-03      	9.829624e-05      	8.653937e-04      	1.127114e-02      
