# Datafile created by QuickNXS 1.1.6
# Date: 2019-07-15 08:23:28
# Type: Specular
# Input file indices: 32316+[32317,32320]+[32318,32319]
# Extracted states: On_Off
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth          number  File                                            
# 1      0   0   189     9        131.5   95       54      100       189   -0.00280144  32298   /SNS/REF_M/IPTS-23754/data/REF_M_32298_histo.nxs
# 2      0   0   188.8   11       132     96       54      100       189   -0.00280144  32299   /SNS/REF_M/IPTS-23754/data/REF_M_32299_histo.nxs
# 3      0   0   188.9   15       134     96       54      100       189   -0.00280144  32300   /SNS/REF_M/IPTS-23754/data/REF_M_32300_histo.nxs
# 
# [Data Runs]
# scale      P0  PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth       number         DB_ID  File                                                                                                      
# 21.727     7   16   147.5   12       128    34       116     50        False        189   0         32316          1      /SNS/REF_M/IPTS-23754/data/REF_M_32316_histo.nxs                                                          
# 3.01301    5   15   149.5   12       137    36       116     50        False        189   1.0384    [32317,32320]  2      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32317_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32320_histo.nxs']
# 0.909913   5   5    153.6   11       159    36       116     50        False        189   3.60592   [32318,32319]  3      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32318_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32319_histo.nxs']
# 
# [Global Options]
# name           value
# sample_length  10   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
9.945272e-03      	9.237672e-01      	4.584276e-02      	1.617764e-04      	6.323465e-03      
1.003996e-02      	1.010543e+00      	4.707070e-02      	1.633604e-04      	6.323465e-03      
1.013646e-02      	9.123868e-01      	4.319701e-02      	1.649761e-04      	6.323465e-03      
1.023484e-02      	9.833949e-01      	4.496374e-02      	1.666245e-04      	6.323465e-03      
1.033515e-02      	9.221913e-01      	4.160948e-02      	1.683066e-04      	6.323465e-03      
1.043745e-02      	9.336593e-01      	4.055318e-02      	1.700235e-04      	6.323465e-03      
1.054179e-02      	1.003814e+00      	4.055152e-02      	1.717762e-04      	6.323465e-03      
1.064823e-02      	9.750793e-01      	3.840155e-02      	1.735660e-04      	6.323465e-03      
1.075685e-02      	9.135769e-01      	3.636607e-02      	1.753939e-04      	6.323465e-03      
1.086771e-02      	1.065761e+00      	3.873139e-02      	1.772613e-04      	6.323465e-03      
1.098087e-02      	9.600738e-01      	3.523109e-02      	1.791695e-04      	6.323465e-03      
1.109642e-02      	9.677336e-01      	3.403886e-02      	1.811198e-04      	6.323465e-03      
1.121442e-02      	9.914747e-01      	3.342227e-02      	1.831137e-04      	6.323465e-03      
1.133496e-02      	9.350688e-01      	3.139914e-02      	1.851526e-04      	6.323465e-03      
1.145813e-02      	9.610570e-01      	3.132813e-02      	1.872382e-04      	6.323465e-03      
1.158399e-02      	1.009162e+00      	3.150385e-02      	1.893720e-04      	6.323465e-03      
1.171265e-02      	1.031365e+00      	3.108694e-02      	1.915558e-04      	6.323465e-03      
1.184421e-02      	1.000224e+00      	2.989635e-02      	1.937913e-04      	6.323465e-03      
1.197875e-02      	1.014985e+00      	2.952649e-02      	1.960806e-04      	6.323465e-03      
1.211638e-02      	9.943229e-01      	2.845038e-02      	1.984254e-04      	6.323465e-03      
1.225721e-02      	9.979689e-01      	2.776546e-02      	2.008280e-04      	6.323465e-03      
1.240136e-02      	1.001781e+00      	2.663936e-02      	2.032906e-04      	6.323465e-03      
1.254894e-02      	1.021161e+00      	2.633498e-02      	2.058153e-04      	6.323465e-03      
1.270007e-02      	9.914959e-01      	2.576217e-02      	2.084047e-04      	6.323465e-03      
1.285488e-02      	9.919768e-01      	2.553320e-02      	2.110612e-04      	6.323465e-03      
1.301352e-02      	1.020376e+00      	2.551234e-02      	2.137877e-04      	6.323465e-03      
1.317612e-02      	1.013193e+00      	2.451959e-02      	2.165868e-04      	6.323465e-03      
1.334283e-02      	9.739599e-01      	2.273851e-02      	2.194617e-04      	6.323465e-03      
1.351382e-02      	1.019143e+00      	2.230741e-02      	2.224154e-04      	6.323465e-03      
1.368925e-02      	9.702817e-01      	2.116982e-02      	2.254513e-04      	6.323465e-03      
1.386929e-02      	9.953308e-01      	2.083637e-02      	2.285729e-04      	6.323465e-03      
