x,y_uu,y_dd,,,
9.945272E-03,1.000001E+00,1.000001E+00,,,
1.003996E-02,1.000001E+00,1.000001E+00,,,
1.013646E-02,1.000001E+00,1.000001E+00,,,
1.023484E-02,1.000001E+00,1.000001E+00,,,
1.033515E-02,1.000001E+00,1.000001E+00,,,
1.043745E-02,1.000001E+00,1.000001E+00,,,
1.054179E-02,1.000001E+00,1.000001E+00,,,
1.064823E-02,1.000001E+00,1.000001E+00,,,
1.075685E-02,1.000001E+00,1.000001E+00,,,
1.086771E-02,1.000001E+00,1.000001E+00,,,
1.098087E-02,1.000001E+00,1.000001E+00,,,
1.109642E-02,1.000001E+00,1.000001E+00,,,
1.121442E-02,1.000001E+00,1.000001E+00,,,
1.133496E-02,1.000001E+00,1.000001E+00,,,
1.145813E-02,1.000001E+00,1.000001E+00,,,
1.158399E-02,1.000001E+00,1.000001E+00,,,
1.171265E-02,1.000001E+00,1.000001E+00,,,
1.184421E-02,1.000001E+00,1.000001E+00,,,
1.197875E-02,1.000001E+00,1.000001E+00,,,
1.211638E-02,1.000001E+00,1.000001E+00,,,
1.225721E-02,1.000001E+00,1.000001E+00,,,
1.240136E-02,1.000001E+00,1.000001E+00,,,
1.254894E-02,1.000001E+00,1.000001E+00,,,
1.270007E-02,1.000001E+00,1.000001E+00,,,
1.285488E-02,1.000001E+00,1.000001E+00,,,
1.301352E-02,1.000001E+00,1.000001E+00,,,
1.317612E-02,1.000001E+00,1.000001E+00,,,
1.334283E-02,1.000001E+00,1.000001E+00,,,
1.351382E-02,1.000001E+00,1.000001E+00,,,
1.368925E-02,1.000001E+00,1.000001E+00,,,
1.386929E-02,1.000001E+00,1.000001E+00,,,
1.405413E-02,1.000001E+00,1.000001E+00,,,
1.424396E-02,1.000001E+00,1.000001E+00,,,
1.443899E-02,1.000001E+00,1.000001E+00,,,
1.463944E-02,1.000001E+00,1.000001E+00,,,
1.484553E-02,1.000001E+00,1.000001E+00,,,
1.505751E-02,1.000001E+00,1.000001E+00,,,
1.527563E-02,1.000001E+00,1.000001E+00,,,
1.550015E-02,9.685522E-01,9.685853E-01,,,
1.573138E-02,9.617508E-01,9.617824E-01,,,
1.596962E-02,9.583351E-01,9.583635E-01,,,
1.621517E-02,8.182559E-01,8.184452E-01,,,
1.646840E-02,7.620207E-01,7.622116E-01,,,
1.672966E-02,7.385360E-01,7.387065E-01,,,
1.699935E-02,5.445099E-01,5.448799E-01,,,
1.727787E-02,4.493071E-01,4.496681E-01,,,
1.756567E-02,4.109202E-01,4.112362E-01,,,
1.786323E-02,2.343848E-01,2.348270E-01,,,
1.817103E-02,1.708922E-01,1.712854E-01,,,
1.848963E-02,1.406559E-01,1.409901E-01,,,
1.881961E-02,8.629941E-02,8.661188E-02,,,
1.916157E-02,6.751923E-02,6.777847E-02,,,
1.951619E-02,5.523567E-02,5.544634E-02,,,
1.988419E-02,4.629480E-02,4.646186E-02,,,
2.026633E-02,3.940579E-02,3.953378E-02,,,
2.066344E-02,3.389069E-02,3.398373E-02,,,
2.107643E-02,2.934689E-02,2.940885E-02,,,
2.150626E-02,2.551616E-02,2.555078E-02,,,
2.195399E-02,2.222291E-02,2.223383E-02,,,
2.242076E-02,1.934288E-02,1.933372E-02,,,
2.290781E-02,1.678568E-02,1.676007E-02,,,
2.327808E-02,1.507902E-02,1.504368E-02,,,
2.341649E-02,1.448522E-02,1.444681E-02,,,
2.349557E-02,1.415576E-02,1.411574E-02,,,
2.371715E-02,1.326822E-02,1.322413E-02,,,
2.394296E-02,1.241383E-02,1.236633E-02,,,
2.417310E-02,1.159071E-02,1.154042E-02,,,
2.440772E-02,1.079722E-02,1.074477E-02,,,
2.464693E-02,1.003231E-02,9.978324E-03,,,
2.489088E-02,9.295235E-03,9.240310E-03,,,
2.513970E-02,8.585707E-03,8.530438E-03,,,
2.539355E-02,7.903755E-03,7.848718E-03,,,
2.565258E-02,7.249810E-03,7.195561E-03,,,
2.591694E-02,6.624641E-03,6.571714E-03,,,
2.618682E-02,6.029239E-03,5.978139E-03,,,
2.646237E-02,5.464960E-03,5.416162E-03,,,
2.674378E-02,4.933296E-03,4.887242E-03,,,
2.703125E-02,4.435900E-03,4.392991E-03,,,
2.732496E-02,3.974563E-03,3.935160E-03,,,
2.762512E-02,3.551061E-03,3.515476E-03,,,
2.793195E-02,3.167111E-03,3.135606E-03,,,
2.824567E-02,2.824297E-03,2.797082E-03,,,
2.856652E-02,2.523952E-03,2.501179E-03,,,
2.889474E-02,2.267087E-03,2.248847E-03,,,
2.923060E-02,2.054261E-03,2.040586E-03,,,
2.957435E-02,1.885528E-03,1.876384E-03,,,
2.992628E-02,1.760301E-03,1.755591E-03,,,
3.028669E-02,1.677298E-03,1.676860E-03,,,
3.065589E-02,1.634473E-03,1.638084E-03,,,
3.103420E-02,1.628968E-03,1.636341E-03,,,
3.142196E-02,1.657088E-03,1.667882E-03,,,
3.181954E-02,1.714319E-03,1.728140E-03,,,
3.222730E-02,1.795363E-03,1.811769E-03,,,
3.264566E-02,1.894233E-03,1.912745E-03,,,
3.307501E-02,2.004361E-03,2.024467E-03,,,
3.351581E-02,2.118784E-03,2.139951E-03,,,
3.396852E-02,2.230336E-03,2.252021E-03,,,
3.443363E-02,2.331897E-03,2.353560E-03,,,
3.491165E-02,2.416668E-03,2.437781E-03,,,
3.540313E-02,2.478463E-03,2.498524E-03,,,
3.590864E-02,2.512002E-03,2.530550E-03,,,
3.642880E-02,2.513203E-03,2.529828E-03,,,
3.696425E-02,2.479425E-03,2.493781E-03,,,
3.751568E-02,2.409665E-03,2.421486E-03,,,
3.808381E-02,2.304684E-03,2.313785E-03,,,
3.866940E-02,2.167021E-03,2.173313E-03,,,
3.927329E-02,2.000893E-03,2.004383E-03,,,
3.989634E-02,1.811992E-03,1.812790E-03,,,
4.053948E-02,1.607144E-03,1.605457E-03,,,
4.120369E-02,1.393874E-03,1.390000E-03,,,
4.189004E-02,1.179887E-03,1.174207E-03,,,
4.259963E-02,9.725587E-04,9.655215E-04,,,
4.333368E-02,7.784117E-04,7.705109E-04,,,
4.409346E-02,6.027367E-04,5.944894E-04,,,
4.488037E-02,4.493306E-04,4.412499E-04,,,
4.569587E-02,3.204640E-04,3.130294E-04,,,
4.654156E-02,2.170145E-04,2.106427E-04,,,
4.741915E-02,1.387851E-04,1.338014E-04,,,
4.833046E-02,8.488599E-05,8.150049E-05,,,
4.927748E-02,5.406646E-05,5.235648E-05,,,
5.026237E-02,4.486997E-05,4.477239E-05,,,
5.128742E-02,5.550098E-05,5.681614E-05,,,
5.235515E-02,8.339116E-05,8.580086E-05,,,
5.346829E-02,1.245873E-04,1.276870E-04,,,
5.462979E-02,1.732246E-04,1.765686E-04,,,
5.584287E-02,2.214613E-04,2.246177E-04,,,
5.688846E-02,2.546171E-04,2.573406E-04,,,
5.711105E-02,2.602240E-04,2.628320E-04,,,
5.741996E-02,2.670374E-04,2.694752E-04,,,
5.796148E-02,2.761010E-04,2.782189E-04,,,
5.851332E-02,2.813779E-04,2.831526E-04,,,
5.907577E-02,2.825634E-04,2.839830E-04,,,
5.964913E-02,2.795037E-04,2.805680E-04,,,
6.023373E-02,2.722147E-04,2.729354E-04,,,
6.082990E-02,2.608933E-04,2.612929E-04,,,
6.143800E-02,2.459168E-04,2.460282E-04,,,
6.205837E-02,2.278334E-04,2.276982E-04,,,
6.269140E-02,2.073360E-04,2.070028E-04,,,
6.333748E-02,1.852282E-04,1.847509E-04,,,
6.399701E-02,1.623784E-04,1.618135E-04,,,
6.467042E-02,1.396660E-04,1.390705E-04,,,
6.535816E-02,1.179261E-04,1.173546E-04,,,
6.606068E-02,9.789590E-05,9.739843E-05,,,
6.677846E-02,8.016679E-05,7.978627E-05,,,
6.751202E-02,6.514986E-05,6.492018E-05,,,
6.826187E-02,5.305859E-05,5.300295E-05,,,
6.902856E-02,4.390800E-05,4.403789E-05,,,
6.981268E-02,3.753415E-05,3.784889E-05,,,
7.061481E-02,3.363001E-05,3.411703E-05,,,
7.143559E-02,3.179177E-05,3.242759E-05,,,
7.227567E-02,3.157055E-05,3.232243E-05,,,
7.313575E-02,3.252018E-05,3.334845E-05,,,
7.401654E-02,3.423430E-05,3.509522E-05,,,
7.491881E-02,3.636734E-05,3.721623E-05,,,
7.584335E-02,3.863742E-05,3.943202E-05,,,
7.679099E-02,4.081374E-05,4.151745E-05,,,
7.776261E-02,4.269547E-05,4.328023E-05,,,
7.875913E-02,4.409156E-05,4.454017E-05,,,
7.978153E-02,4.481212E-05,4.511967E-05,,,
8.083082E-02,4.467868E-05,4.485300E-05,,,
8.190807E-02,4.355515E-05,4.361608E-05,,,
8.301443E-02,4.139278E-05,4.137025E-05,,,
8.415109E-02,3.827485E-05,3.820598E-05,,,
8.531930E-02,3.444204E-05,3.436727E-05,,,
8.652041E-02,3.028020E-05,3.023901E-05,,,
8.775582E-02,2.626220E-05,2.628874E-05,,,
8.902702E-02,2.284927E-05,2.296845E-05,,,
9.033559E-02,2.037598E-05,2.060061E-05,,,
9.168320E-02,1.895534E-05,1.928464E-05,,,
9.307162E-02,1.844148E-05,1.886136E-05,,,
9.450275E-02,1.847268E-05,1.895787E-05,,,
9.597857E-02,1.858857E-05,1.910627E-05,,,
9.750122E-02,1.838279E-05,1.889750E-05,,,
9.907296E-02,1.763167E-05,1.811051E-05,,,
1.006962E-01,1.634485E-05,1.676244E-05,,,
1.023735E-01,1.471780E-05,1.505998E-05,,,
1.041077E-01,1.301627E-05,1.328194E-05,,,
1.059016E-01,1.146039E-05,1.166112E-05,,,
1.077584E-01,1.017139E-05,1.032867E-05,,,
1.096815E-01,9.198169E-06,9.338816E-06,,,
1.116745E-01,8.574133E-06,8.724587E-06,,,
1.137412E-01,8.328749E-06,8.509443E-06,,,
1.158859E-01,8.422853E-06,8.643936E-06,,,
1.181130E-01,8.667990E-06,8.927496E-06,,,
1.204274E-01,8.741575E-06,9.026661E-06,,,
1.228344E-01,8.346468E-06,8.637544E-06,,,
1.253395E-01,7.415933E-06,7.692656E-06,,,
1.279488E-01,6.181125E-06,6.428552E-06,,,
1.306692E-01,5.022728E-06,5.235689E-06,,,
1.335077E-01,4.239151E-06,4.423318E-06,,,
1.364724E-01,3.928434E-06,4.097466E-06,,,
1.395716E-01,4.013076E-06,4.182667E-06,,,
1.428149E-01,4.281402E-06,4.462433E-06,,,
1.462125E-01,4.428909E-06,4.622653E-06,,,
1.497757E-01,4.214166E-06,4.411986E-06,,,
1.535169E-01,3.655164E-06,3.843280E-06,,,
1.574499E-01,3.007742E-06,3.175104E-06,,,
1.615896E-01,2.545812E-06,2.690991E-06,,,
1.659529E-01,2.402605E-06,2.535002E-06,,,
1.705583E-01,2.502412E-06,2.635440E-06,,,
