# Datafile created by QuickNXS 1.1.6
# Date: 2019-07-15 08:23:28
# Type: Specular
# Input file indices: 32316+[32317,32320]+[32318,32319]
# Extracted states: Off_Off
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth          number  File                                            
# 1      0   0   189     9        131.5   95       54      100       189   -0.00280144  32298   /SNS/REF_M/IPTS-23754/data/REF_M_32298_histo.nxs
# 2      0   0   188.8   11       132     96       54      100       189   -0.00280144  32299   /SNS/REF_M/IPTS-23754/data/REF_M_32299_histo.nxs
# 3      0   0   188.9   15       134     96       54      100       189   -0.00280144  32300   /SNS/REF_M/IPTS-23754/data/REF_M_32300_histo.nxs
# 
# [Data Runs]
# scale      P0  PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth       number         DB_ID  File                                                                                                      
# 21.727     7   16   147.5   12       128    34       116     50        False        189   0         32316          1      /SNS/REF_M/IPTS-23754/data/REF_M_32316_histo.nxs                                                          
# 3.01301    5   15   149.5   12       137    36       116     50        False        189   1.0384    [32317,32320]  2      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32317_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32320_histo.nxs']
# 0.909913   5   5    153.6   11       159    36       116     50        False        189   3.60592   [32318,32319]  3      [u'/SNS/REF_M/IPTS-23754/data/REF_M_32318_histo.nxs', u'/SNS/REF_M/IPTS-23754/data/REF_M_32319_histo.nxs']
# 
# [Global Options]
# name           value
# sample_length  10   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
9.945272e-03      	9.523506e-01      	4.670360e-02      	1.617764e-04      	6.323465e-03      
1.003996e-02      	1.035363e+00      	4.755369e-02      	1.633604e-04      	6.323465e-03      
1.013646e-02      	9.819264e-01      	4.489768e-02      	1.649761e-04      	6.323465e-03      
1.023484e-02      	9.057009e-01      	4.308575e-02      	1.666245e-04      	6.323465e-03      
1.033515e-02      	9.995066e-01      	4.355981e-02      	1.683066e-04      	6.323465e-03      
1.043745e-02      	9.895994e-01      	4.183677e-02      	1.700235e-04      	6.323465e-03      
1.054179e-02      	9.975883e-01      	4.035927e-02      	1.717762e-04      	6.323465e-03      
1.064823e-02      	1.022403e+00      	3.928156e-02      	1.735660e-04      	6.323465e-03      
1.075685e-02      	9.989759e-01      	3.802218e-02      	1.753939e-04      	6.323465e-03      
1.086771e-02      	1.033218e+00      	3.803915e-02      	1.772613e-04      	6.323465e-03      
1.098087e-02      	1.004097e+00      	3.612212e-02      	1.791695e-04      	6.323465e-03      
1.109642e-02      	1.045734e+00      	3.554159e-02      	1.811198e-04      	6.323465e-03      
1.121442e-02      	9.801665e-01      	3.327770e-02      	1.831137e-04      	6.323465e-03      
1.133496e-02      	9.383179e-01      	3.161556e-02      	1.851526e-04      	6.323465e-03      
1.145813e-02      	9.889687e-01      	3.190021e-02      	1.872382e-04      	6.323465e-03      
1.158399e-02      	9.871258e-01      	3.123931e-02      	1.893720e-04      	6.323465e-03      
1.171265e-02      	1.025741e+00      	3.096695e-02      	1.915558e-04      	6.323465e-03      
1.184421e-02      	1.019677e+00      	3.019764e-02      	1.937913e-04      	6.323465e-03      
1.197875e-02      	1.008665e+00      	2.944244e-02      	1.960806e-04      	6.323465e-03      
1.211638e-02      	1.034630e+00      	2.905663e-02      	1.984254e-04      	6.323465e-03      
1.225721e-02      	1.010141e+00      	2.794845e-02      	2.008280e-04      	6.323465e-03      
1.240136e-02      	1.028879e+00      	2.704440e-02      	2.032906e-04      	6.323465e-03      
1.254894e-02      	1.008814e+00      	2.619239e-02      	2.058153e-04      	6.323465e-03      
1.270007e-02      	9.941186e-01      	2.577644e-02      	2.084047e-04      	6.323465e-03      
1.285488e-02      	9.885887e-01      	2.549324e-02      	2.110612e-04      	6.323465e-03      
1.301352e-02      	1.023457e+00      	2.561425e-02      	2.137877e-04      	6.323465e-03      
1.317612e-02      	1.024727e+00      	2.467566e-02      	2.165868e-04      	6.323465e-03      
1.334283e-02      	9.761211e-01      	2.279592e-02      	2.194617e-04      	6.323465e-03      
1.351382e-02      	1.026859e+00      	2.245050e-02      	2.224154e-04      	6.323465e-03      
1.368925e-02      	9.732417e-01      	2.120897e-02      	2.254513e-04      	6.323465e-03      
1.386929e-02      	1.028950e+00      	2.121645e-02      	2.285729e-04      	6.323465e-03      
1.405413e-02      	9.998328e-01      	1.988717e-02      	2.317840e-04      	6.323465e-03      
1.424396e-02      	1.002146e+00      	1.931972e-02      	2.350886e-04      	6.323465e-03      
1.443899e-02      	1.031742e+00      	1.948581e-02      	2.384908e-04      	6.323465e-03      
